2017-09-06 02:43:43:0904	../../../files/testListWithPickListSize100_part05.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
1	612,325	2271,19999999999	211,639	1575,12	418,343	2254,41999999999	17,139	1730,66	31,16	1884,87999999999	101,121	1611,64	79,711	2209,72	0,004	1822,4	0,006
2	747,054	1740,64	207,648	1790,82	597,434	1976,61999999999	24,891	1740,82	21,27	2180,11999999999	118,764	1653,64	73,516	2110	0,001	1717,82	0,002
3	621,282	2326,25999999999	119,593	1435,18	518,475	2066,93999999999	28,837	1537	45,265	1850,61999999999	115,809	1653,32	74,308	2055,22	0,002	1729,24	0,003
4	692,169	2324,07999999999	281,985	1877,72	345,227	2022,75999999999	21,11	1689,76	27,956	2401,69999999999	98,228	1829,7	106,028	2380,22	0,001	1794,02	0,002
5	355,242	2002,79999999999	198,587	1282,3	522,098	1825,88	31,543	1435,52	25,959	2214,81999999999	90,78	1598,34	87,472	1983,14	0,001	1718,16	0,002
6	357,572	2228,07999999999	192,781	1680,8	346,468	1997,38	28,166	1474,5	42,38	2116,37999999999	144,335	1582,64	72,173	2077,24	0,001	1745,18	0,002
7	352,939	2563,93999999999	197,718	1642,16	505,979	2368,19999999999	29,66	1704,2	32,992	1957,16	113,901	1559,08	103,089	2081,9	0,001	1672,48	0,002
8	359,241	2351,29999999999	234,047	1790	366,151	2108,63999999999	25,038	1584,38	41,075	2024,65999999999	94,026	1656,3	106,191	2225,86	0,001	1767	0,002
9	347,568	2186,67999999999	159,402	1555,92	527,858	1798,32	25,951	1687,18	33,183	2239,81999999999	110,487	1269,28	102,406	2192,28	0,001	1804,76	0,002
10	353,216	2495,29999999999	246,571	1743,16	344,949	1900,92	32,607	1660,82	35,3	1957,87999999999	74,44	1542,76	81,721	2082,78	0,001	1651,68	0,002
11	351,513	2059,01999999999	355,34	1620,58	486,581	1741,76	41,661	1711,72	32,217	1896,45999999999	75,73	1456,48	82,036	2148,58	0,001	1777,74	0,002
12	356,964	2486,83999999998	211,994	1690,36	461,938	2073,39999999999	31,252	1781,5	32,714	2152,99999999999	65,939	1479,7	110,395	2143,58	0,001	1806,12	0,002
13	343,57	2235,23999999999	207,967	1619,28	478,905	2168,97999999999	22,026	1629	26,561	2509,19999999999	54,271	1738,88	108,756	2203,36	0,001	1710,92	0,002
14	546,115	2125,07999999999	175,488	1422,5	512,165	1909,33999999999	28,331	1324,62	34,868	2104,51999999999	66,31	1475,38	96,928	2115	0,001	1655,18	0,002
15	731,801	1970,85999999999	192,377	1770,02	505,816	2350,85999999999	32,184	1388,7	36,696	2256,61999999999	61,822	1407,24	115,151	2165,06	0,001	1794,02	0,002
16	698,196	2131,49999999999	260,016	1875,54	379,796	2126,76	35,503	1725,28	41,513	2551,61999999999	93,84	1953,1	135,957	2170,8	0,001	1888,88	0,002
17	672,233	2358,13999999999	231,681	1820,32	474,876	2268,85999999999	28,332	1637,54	39,402	2251,89999999999	84,417	1938,24	102,291	2054,54	0,001	1738,96	0,002
18	541,015	2131,63999999999	416,53	1730,42	658,836	1973,37999999999	33,204	1321	49,433	2047,66	93,203	1801,12	102,545	2181,2	0,001	1822,06	0,002
19	745,888	2182,21999999999	276,485	1810,18	439,051	1827,57999999999	35,433	1687,66	47,911	2185,07999999999	58,884	1498,56	132,288	2120,4	0,001	1727,2	0,002
20	757,941	2146,97999999999	205,283	1562,18	710,258	2424,87999999999	26,613	1393,64	21,269	1881,33999999999	126,411	1356,56	106,004	2175,8	0,001	1717,14	0,002
21	653,978	1950,97999999999	184,111	1642,72	516,843	2241,31999999999	36,488	1371,02	39,334	2666,35999999998	89,745	1587,72	98,62	2120,4	0,002	1799,22	0,002
22	758,391	2403,19999999999	218,224	1628,6	408,997	1909,9	28,768	1674	31,483	2057,59999999999	78,826	1728,86	121,886	1955,78	0,001	1592,1	0,002
23	651,962	2330,97999999999	145,262	1895,15999999999	497,78	2362,93999999999	33,99	1709,34	31,011	2261,13999999999	87,595	1814,12	101,639	2092,84	0,002	1722,34	0,002
24	721,108	2275,75999999999	310,916	1435,54	736,529	1939,87999999999	38,866	1449,04	34,522	2284,11999999999	80,812	1530,72	95,36	2264,44	0,002	1804,42	0,004
25	700,964	2106,57999999999	178,407	1000,2	564,561	1962,26	44,705	1653,1	38,456	2224,47999999999	107,333	1535,92	121,508	2209,04	0,001	1871,24	0,002
26	727,205	2184,25999999999	252,004	1642,16	482,67	1805,28	41,474	1538,24	35,675	2650,05999999999	84,995	1610,72	115,338	1922,2	0,002	1679,04	0,003
27	725,919	2202,27999999999	335,838	1335,46	348,551	1974,59999999999	34,858	1483,24	41,792	2050,63999999999	110,35	1673,8	92,835	2066,16	0,001	1706,4	0,002
28	697,757	1924,73999999999	208,217	1474,94	578,704	2155,03999999999	42,665	1697,32	36,107	2112,73999999999	101,02	1751,22	96,985	2026,64	0,001	1728,56	0,002
29	838,178	2395,15999999999	385,266	1718,24	407,122	2211,49999999999	23,325	939,200000000001	33,236	2139,91999999999	123,941	1481,06	107,2	1976,78	0,001	1777,06	0,002
30	509,88	2316,29999999999	197,926	1285,68	539,911	1662,54	20,907	1535,96	29,718	2448,81999999999	89,872	1582,6	129,252	2209,24	0,001	1727,54	0,002
31	687,752	2185,03999999999	303,09	1484,72	461,346	1925,75999999999	28,952	1499,38	32,045	2153,79999999999	91,755	1483,78	87,54	1994,42	0,001	1668,3	0,002
32	684,623	2336,81999999999	166,185	1610,38	529,17	1749,34	35,758	1253,92	35,609	2037,87999999999	71,535	1522,98	116,296	1998,8	0,001	1809,96	0,003
33	437,756	1883,44	198,091	1429,6	563,406	1938,99999999999	33,491	1599,64	34,296	2206,59999999999	61,117	1374,3	87,196	2188,92	0,002	1823,42	0,002
34	417,707	2272,31999999999	206,247	1360,98	435,206	2170,09999999999	33,83	1362,04	36,762	2317,95999999999	80,49	1819,94	148,932	2154,66	0,001	1779,44	0,002
35	1956,56	2342,69999999999	157,919	1206,68	544,723	2021,87999999999	25,106	1560,38	21,339	2043,61999999999	83,434	1447,7	133,414	2137,5	0,001	1745,18	0,002
36	679,867	2059,07999999999	246,234	1432,76	460,382	2099,93999999999	26,802	1420,8	32,51	1734,92	97,569	1375,68	116,419	2104,4	0,002	1678,7	0,002
37	527,19	1893,53999999999	277,245	1573,6	507,335	2217,77999999999	30,817	1594,1	42,083	2144,97999999999	115,837	1728	105,535	2109,46	0,001	1870,9	0,002
38	770,621	2170,33999999999	244,807	1586,08	658,496	2172,81999999999	28,979	1522,22	34,745	1963,86	114,698	1750	91,303	2170,26	0,001	1705,38	0,002
39	680,527	1977,83999999999	215,457	1421,2	563,147	1918,33999999999	36,097	1395,28	36,118	2150,27999999999	58,706	1342,7	103,251	2098,38	0,001	1732,4	0,003
40	794,336	2059,59999999999	428,483	2094,41999999999	642,606	1885,83999999999	30,176	1407,84	39,053	2404,23999999999	72,998	1226,6	136,522	2347,12	0,001	1910,36	0,002
41	656,949	2266,49999999999	145,623	1370,6	412,268	1765,17999999999	32,056	1594,5	30,351	1614,77999999999	106,652	1359,48	135,835	1955,44	0,001	1656,54	0,002
42	685,204	2250,59999999999	215,769	1843,21999999999	580,308	2021,29999999999	37,736	1769,5	25,841	2199,63999999999	59,002	1402,28	112,307	2186,74	0,001	1776,72	0,003
43	795,636	1978,13999999999	347,153	1701,86	461,923	1970,36	44,135	1688,62	50,85	2008,89999999999	91,173	1841,86	101,289	2209,04	0,001	1806,46	0,003
44	755,35	2398,81999999998	207,067	1815,31999999999	478,7	2209,37999999999	38,335	1248,44	37,881	1793,42	121,133	1727,16	104,115	2170,26	0,001	1843,54	0,002
45	793,922	2410,23999999999	211,916	1479,56	467,551	2006,19999999999	26,619	1835,06	41,549	2246,53999999999	106,665	1406,68	106,323	1999,48	0,002	1711,6	0,002
46	630,779	1952,85999999999	418,413	1587,2	483,791	2006,27999999999	20,328	1292,66	29,281	2061,41999999999	84,962	1505,94	116,161	2181,68	0,002	1799,9	0,003
47	694,767	2141,39999999999	292,745	1283	485,841	2148,61999999999	21,935	1435,92	36,725	2011,78	106,346	993,280000000001	113,584	1833,16	0,002	1689,1	0,003
48	676,241	2139,63999999999	212,184	1625,02	437,735	2059,63999999999	22,119	1541,18	30,268	1813,39999999999	82,269	1724,96	99,601	2015,9	0,001	1633,7	0,002
49	351,456	2191,97999999999	240,296	1635,28	400,984	1995,43999999999	41,227	1375,94	34,495	2545,33999999999	78,435	1508,62	83,557	2231,06	0,001	1932,18	0,002
50	353,688	2436,13999999999	248,4	1846,96	432,574	1977,09999999999	41,795	1623,4	30,201	2469,13999999999	64,639	1686,86	85,207	2182,36	0,001	1778,42	0,002
51	332,197	2195,81999999999	176,76	1357,92	521,745	1861,01999999999	29,907	1724	30,289	2277,61999999999	132,875	1636,04	122,57	2209,04	0,001	1727,2	0,002
52	337,204	2606,89999999999	246,731	1313,5	395,669	2235,27999999999	24,402	1448,9	41,353	2329,71999999999	63,519	1637,84	87,514	2164,86	0,001	1760,1	0,002
53	337,236	2098,19999999999	277,797	1720,9	448,963	2152,73999999999	30,927	1667,46	33,736	2097,53999999999	91,061	1593,34	112,952	2153,64	0,001	1866,04	0,002
54	335,104	2277,95999999999	170,497	1714,46	324,963	2068,05999999999	25,629	1463,14	40,188	2013,77999999999	94,907	1503,42	90,751	2098,72	0,002	1651,68	0,002
55	335,557	2286,15999999999	150,701	1735	458,958	2106,47999999999	29,644	1637,28	39,472	2342,19999999999	84,5	1878,34	78,925	2082,1	0,002	1771,52	0,002
56	332,009	2375,21999999999	321,668	1551,68	447,154	2002,13999999999	20,297	1401,94	24,662	2239,17999999999	63,806	1783,26	91,349	1982,66	0,001	1772,54	0,002
57	335,356	2296,95999999999	252,04	1495,5	422,192	2241,79999999999	28,293	1601,44	31,879	1944,99999999999	99,084	1573,54	87,898	1988,4	0,001	1689,1	0,002
58	335,223	2388,55999999999	197,668	1824,4	599,204	2107,27999999999	35,789	1572,28	37,636	2183,75999999999	122,525	1730,82	124,992	2037,58	0,001	1749,36	0,002
59	335,481	2662,75999999999	254,492	1886,91999999999	295,624	2246,15999999999	27,862	1654,96	39,682	2351,27999999999	90,879	1764,34	129,852	1998,94	0,001	1756,26	0,002
60	341,351	2243,49999999999	298,97	1806,96	511,786	1548,24	27,601	1253,68	50,896	2261,17999999999	99,886	1630,64	87,77	2048,66	0,001	1782,26	0,002
61	361,101	2515,17999999999	198,56	1790,44	518,06	2075,7	45,342	1656,2	36,424	2200,19999999999	96,753	1801,08	84,523	2104,8	0,001	1745,52	0,002
62	425,192	2464,51999999999	231,259	1169,12	495,057	2258,11999999999	28,536	1798,02	36,031	2433,03999999999	116,137	1488,36	110,987	2109,46	0,001	1789,84	0,002
63	521,868	2159,65999999999	240,201	1984,54	397,044	1941,97999999999	21,125	1447,14	30,241	2415,95999999999	85,531	1242,76	88,743	2054,4	0,001	1755,24	0,002
64	721,412	2017,67999999999	244,368	1593,78	346,663	2006,95999999999	24,036	1294,02	23,735	2378,07999999999	59,915	1610,5	105,638	2004,34	0,001	1826,92	0,002
65	649,98	2328,15999999999	299,92	1537	507,827	1771,86	26,237	1483,06	30,244	2237,61999999999	84,66	1445,16	117,463	2087,78	0,001	1661,74	0,002
66	760,955	2309,67999999999	223,5	1796,99999999999	440,549	2254,85999999999	21,652	1678,52	42,355	2456,55999999999	77,057	1518	79,176	2059,6	0,001	1606,34	0,003
67	682,504	2290,37999999999	229,771	1683,04	566,491	2222,35999999999	29,375	1832,96	26	2453,09999999999	85,222	1544,3	138,042	2037,92	0,001	1810,64	0,002
68	706,062	1948,55999999999	215,17	1753,6	508,676	1827,74	42,719	1542,06	33,001	2151,07999999999	101,008	1719,88	114,162	2220,32	0,001	1771,86	0,002
69	736,928	2003,51999999999	184,702	1487,68	661,583	1823,22	30,815	1412,52	35,506	1729,38	92,231	1364,26	91,445	2071,02	0,001	1711,26	0,002
70	763,034	2187,81999999999	135,194	1693,44	501,613	1787,59999999999	26,294	1219,92	37,289	2284,07999999999	83,306	1665,3	87,875	2104,4	0,002	1771,86	0,003
71	731,151	2172,31999999999	185,912	1998,47999999999	450,909	2305,45999999999	19,178	1748,06	37,493	2287,77999999999	101,902	1764,88	107,92	2126,28	0,002	1900,3	0,004
72	728,555	2101,73999999999	214,497	1760,26	498,504	2187,39999999999	44,345	1816,14	31,699	2500,61999999998	102,753	1663,6	165,636	2092,84	0,003	1838,34	0,002
73	615,458	2010,54	315,137	1779,78	589,52	2057,49999999999	33,158	1792,04	44,267	2183,57999999999	108,981	1619,84	154,695	2280,92	0,001	1849,08	0,002
74	794,081	2397,11999999999	232,04	1730,28	453,37	1814,66	37,283	1877,82	39,525	2091,71999999999	95,501	1738,2	79,807	2142,56	0,001	1700,18	0,003
75	643,467	2106,09999999999	212,667	1498,5	560,242	2167	35,08	1467,7	31,147	2549,51999999999	82,778	1250,76	118,808	2187,7	0,001	1805,78	0,002
76	1827,779	2595,77999999998	234,331	1925,5	486,952	2105,27999999999	49,2	1706,58	49,912	2406,35999999999	92,7	1928,34	106,047	2082,24	0,002	1777,4	0,002
77	427,169	2367,27999999999	156,493	1653,98	344,854	2118,59999999999	29,267	1405,06	46,677	2104,69999999999	112,344	1586,9	121,402	2242,82	0,001	1788,82	0,002
78	436,215	2203,15999999999	248,556	1321,02	687,842	2237,75999999999	28,871	1327,3	43,685	2506,55999999998	110,349	1569,9	100,71	2120,4	0,001	1678,02	0,002
79	543,149	2333,05999999999	300,269	1702,5	734,667	2036,35999999999	26,422	1750,6	53,837	2329,89999999999	108,811	1620,98	103,431	2043,46	0,002	1706,4	0,003
80	380,206	2214,21999999999	268,635	1599,12	522,895	2187,21999999999	27,781	1773,18	30,805	2461,37999999998	115,78	1721,98	125,641	2065,48	0,002	1766,66	0,002
81	652,101	2064,99999999999	391,929	1773,58	513,12	1960,91999999999	32,135	1386,34	37,118	2105,03999999999	108,185	1733,57999999999	104,765	2060,08	0,001	1734,44	0,003
82	791,223	2022,62	312,4	1604,82	515,882	1942,11999999999	30,188	1575,64	47,786	2247,47999999999	99,773	1407,98	110,394	2109,46	0,001	1804,76	0,002
83	373,569	2693,75999999999	181,175	1654,62	463,299	1917,66	32,167	1832,3	33,116	2648,15999999999	58,189	1881,84	137,333	2155	0,002	1797,08	0,002
84	368,008	2109,73999999999	248,349	1422,76	509,56	2053,71999999999	33,402	1455,8	51,9	1824,28	119,052	1392,28	108,369	2204,32	0,001	1794,7	0,002
85	557,025	2348,51999999999	245,837	1675,94	451,702	2063,04	45,317	1637,18	33,435	1841,3	81,486	1580,3	144,66	2142,56	0,002	1754,9	0,002
86	520,916	1739,82	302,715	1428,7	624,65	1907,19999999999	37,891	1470,18	43,636	1874,17999999999	102,194	1304,12	193,825	2148,1	0,002	1838,68	0,003
87	637,093	2423,93999999999	317,715	1436,68	471,768	2329,31999999999	32,973	1641,78	38,34	2367,44	87,988	1819,46	115,118	2121,22	0,001	1868,08	0,003
88	604,574	2413,13999999999	223,742	1538,22	545,807	2010,89999999999	29,633	1455,12	25,362	2306,97999999999	98,918	1699,7	95,441	1944,36	0,002	1727,88	0,003
89	744,766	2091,41999999999	293,302	1799,95999999999	460,299	1932,82	33,384	1938,93999999999	26,142	2293,35999999999	69,602	1439,48	106,185	2181,2	0,001	1765,98	0,002
90	766,054	2163,79999999999	240,022	1536,18	571,822	1739,13999999999	30,571	1656,12	26,451	2234,01999999999	84,879	1374,18	108,37	2120,4	0,001	1805,1	0,003
91	706,984	2382,23999999999	218,765	1693,94	548,975	2090,77999999999	29,26	1829,46	42,191	2603,91999999999	85,167	1697,6	87,916	2115,2	0,001	1899,62	0,002
92	431,816	2280,81999999999	245,727	1760,26	365,596	2204,69999999999	38,769	1641,72	61,259	2516,61999999999	67,61	1510,86	92,613	2341,72	0,001	1793,34	0,002
93	429,698	2524,61999999998	253,329	1765,36	686,795	2127,23999999999	28,057	1780,48	40,034	2250,77999999999	69,973	1724,14	119,126	2236,8	0,002	1844,22	0,002
94	822,104	2159,85999999999	291,351	1535,58	689,455	1655,28	30,567	1510,46	45,452	2413,25999999999	66,036	1311,96	135,172	2276,06	0,001	1805,44	0,002
95	639,478	2253,93999999999	185,855	1713,22	437,992	2296,33999999999	19,576	1388,1	47,424	2091,81999999999	95,311	1532,14	147,608	2110,14	0,001	1700,52	0,002
96	712,756	2412,87999999999	220,314	1779,74	524,267	1716,44	43,357	1433,22	39,698	1947,3	58,989	1555,72	102,077	2225,52	0,001	1915,9	0,003
97	834,451	2240,15999999999	202,844	1332,52	619,942	1888,28	42,653	1594,24	40,658	2225,07999999999	82,021	1708,06	114,517	2059,6	0,002	1722	0,003
98	857,05	2554,87999999999	186,14	2038,82	476,73	2233,71999999999	52,042	1878,8	32,938	2251,51999999999	99,764	1914,18	90,292	2065,62	0,001	1911,72	0,003
99	830,522	1983,73999999999	224,202	1478,1	428,613	1870,87999999999	28,6	1382,16	36,617	2290,77999999999	67,3	1596,54	99,583	2054,2	0,001	1738,62	0,002
100	356,969	2149,93999999999	208,366	1604,54	377,198	1746,96	21,752	1375,12	33,617	2299,29999999999	67,092	1399,3	148,019	2192,42	0,002	1706,4	0,002

2017-09-08 00:21:53:0508	../../../files/testListWithPickListSize100_part04.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
1	698,927	2244,55999999999	300,027	1519,7	489,419	1490,96	51,365	1625,02	26,702	2261,43999999999	92,228	1485,46	105,695	2181,2	0,001	1739,3	0,002
2	596,957	2311,27999999999	226,789	1486,84	542,191	1895,44	34,538	1638,78	43,686	2375,21999999999	73,835	1028,04	111,114	2226,2	0,002	1816,86	0,003
3	712,765	2181,61999999999	232,652	1459,98	531,583	1813,2	30,587	1606,32	39,171	2064,19999999999	71,267	1734,86	68,485	2192,28	0,001	1805,1	0,002
4	775,3	2445,45999999999	331,562	1847,14	425,953	2135,82	24,416	1720,5	42,276	2049,67999999999	71,831	1810,11999999999	98,284	2059,94	0,002	1712,28	0,002
5	569,606	2327,85999999999	290,941	1568,54	453,396	1957,77999999999	40,201	1694,5	28,864	2060,95999999999	97,594	1689,06	105,155	2165,4	0,001	1683,9	0,003
6	365,329	2203,41999999999	285,123	1695	371,119	2019,09999999999	23,72	1683,39999999999	41,477	2141,97999999999	120,183	1662,92	114,918	2049,34	0,001	1690,12	0,002
7	343,926	2694,97999999999	262,262	1759,82	520,155	2487,05999999999	35,802	1897,98	31,272	2446,87999999999	102,438	1898,76	115,924	2269,98	0,001	1816,86	0,002
8	342,85	2595,15999999998	187,056	1602,76	409,765	2034,21999999999	24,291	1539,96	31,355	2087,58	101,379	1625,84	88,783	2253,42	0,002	1799,9	0,002
9	338,046	2199,61999999999	276,801	1478,12	465,091	1877,29999999999	28,393	1691,44	33,825	2489,93999999999	86,855	1582	125,888	2153,64	0,001	1788,48	0,002
10	342,697	2502,21999999999	239,818	1546,92	326,184	2262,59999999999	34,071	1743,26	36,619	2330,47999999999	82,236	1589,84	101,386	2043,12	0,001	1854,62	0,002
11	433,088	2301,55999999999	220,318	1726,84	477,934	2105,11999999999	36,882	1715,36	37,274	1917,55999999999	108,003	1498,86	102,809	2181,54	0,001	1811,32	0,002
12	424,961	1938,41999999999	342,183	1708,58	548,765	1926,32	26,664	1448,64	45,631	2152,43999999999	90,195	1737,66	87,443	2021,24	0,002	1671,46	0,002
13	431,004	2322,23999999999	236,913	1608,2	514,017	2049,18	38,941	1660,64	40,682	2303,43999999999	94,817	1469,84	108,219	2187,36	0,001	1849,42	0,003
14	663,282	2346,37999999999	207,15	1803,9	535,181	2185,51999999999	25,312	1823,98	37,796	2234,07999999999	125,688	1714,76	107,758	2120,54	0,002	1833,14	0,002
15	704,955	2331,83999999998	330,364	1822,76	613,251	2075,2	35,646	1572,12	49,544	2433,21999999999	107,872	1833,97999999999	130,457	2209,04	0,001	1815,5	0,002
16	513,888	2458,97999999999	233,284	1618,6	607,408	2094,39999999999	18,38	1564,9	45,126	2416,83999999999	73,163	1599,5	109,794	2037,58	0,001	1750,04	0,002
17	660,688	2389,17999999999	245,319	1580,84	597,554	2128,07999999999	22,823	1743,78	30,062	2469,57999999999	78,562	1563,74	87,903	2214,44	0,001	1782,6	0,002
18	690,409	2199,07999999999	316,502	1788,57999999999	703,179	2114,69999999999	25,078	1795,94	39,127	2283,45999999999	78,467	1806,24	65,687	2109,46	0,001	1750,38	0,002
19	670,818	2337,13999999999	262,783	1909,3	534,262	1947,71999999999	32,642	1367,88	35,637	2287,23999999999	86,355	1593,92	93,647	2181,2	0,001	1749,36	0,002
20	473,266	2237,33999999999	236,813	1546,24	518,029	1892,33999999999	28,87	1659,26	21,81	2245,43999999999	73,492	1764,12	91,815	2087,64	0,001	1772,2	0,002
21	577,181	1987,81999999999	195,008	1725,56	516,366	2054,98	35,396	1235,94	32,009	2480,95999999999	57,141	1448,98	119,143	2015,42	0,001	1754,9	0,002
22	702,109	2045,69999999999	299,238	1662,72	370,212	1850,68	40,923	1797,7	55,441	2472,97999999999	98,229	1741,5	136,359	2131,48	0,001	1783,28	0,002
