2017-09-13 08:14:23:8798	../../../files/testListWithPickListSize100_part02_02.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
1	680,961	2369,11999999999	204,124	1852,98	382,544	2048,35999999999	29,499	1831,72	21,653	2326,73999999999	102,041	1442,38	105,093	2153,78	0,003	1838	0,006
2	383,342	2330,63999999999	286,378	1502,16	449,833	2060,55999999999	28,999	1083,68	35,099	2076,11999999999	104,395	1638,76	175,871	2142,56	0,001	1915,56	0,003
3	548,47	2548,53999999999	295,583	1662,46	475,415	1687,81999999999	27,907	1595,18	34,877	2200,99999999999	85,325	1851,16	106,455	2110	0,002	1872,26	0,003
4	601,438	2740,57999999999	134,557	1712,88	440,566	1992,85999999999	30,534	1788,4	38,377	2368,95999999999	101,477	1614,08	101,646	2015,9	0,001	1810,98	0,002
5	621,037	2235,77999999999	357,651	1637,9	491,325	2034,51999999999	27,581	1602,66	30,111	2608,37999999999	72,739	1540,02	111,786	2203,84	0,002	1716,8	0,002
6	684,705	2194,07999999999	332,222	1627,98	444,659	1925,21999999999	51,478	1438,2	30,699	2391,61999999998	67,348	1708,5	82,831	2270,18	0,002	1771,86	0,003
7	834,077	2447,85999999999	316,784	1792,71999999999	561,62	1970,03999999999	23,811	1614,22	24,307	2294,47999999999	62,732	1443,12	121,641	2214,58	0,002	1817,2	0,002
8	640,725	2287,73999999999	250,54	1643,68	495,387	1805,09999999999	49,813	1531,94	41,231	2223,09999999999	129,244	1726,87999999999	134,986	2059,6	0,001	1805,1	0,002
9	604,138	2127,97999999999	220,977	1577,14	459,627	2008,41999999999	43,989	1548,22	31,143	2223,13999999999	64,527	1571,6	62,538	2071,02	0,002	1694,64	0,003
10	630,635	1832,7	257,713	1720,7	478,597	1991,89999999999	29,732	1740,8	28,899	2381,87999999999	93,94	1424,16	98,974	2103,92	0,001	1727,88	0,003
11	427,523	2348,73999999999	253,671	1495,02	670,756	1942,03999999999	29,504	1787,04	34,952	2020,45999999999	80,321	1799,37999999999	78,204	2048,66	0,001	1860,84	0,003
12	581,913	1955,67999999999	267,876	1654,94	511,912	1831,47999999999	35,44	1571,06	33,114	2067,99999999999	68,023	1364,8	114,244	2181,34	0,001	1754,9	0,002
13	636,427	2644,63999999999	201,925	1512,8	410,318	1915,15999999999	32,896	1612,04	32,541	2217,15999999999	105,229	1501,34	104,774	2258,76	0,001	1755,24	0,002
