2017-09-07 16:46:37:2686	../../../files/testListWithPickListSize100.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
1	546,524	2429,05999999999	149,743	1644,12	657,614	2046,55999999999	35,926	1507,28	49,18	2519,01999999999	99,096	1602,32	138,278	2264,64	0,004	1849,42	0,007
2	549,022	2210,85999999999	293,423	1612,94	615,129	1904,47999999999	50,756	1537,88	55,645	2182,55999999999	182,387	1735,26	172,685	2099,6	0,001	1678,7	0,002
3	551,156	2629,79999999998	151,556	1838,84	401,305	2178,23999999999	32,731	1799,14	50,446	2306,75999999999	222,276	1578,52	149,843	2103,92	0,001	1821,38	0,002
4	553,727	1790,06	231,757	1720,82	479,645	2447,39999999999	25,18	1095,98	51,91	2269,17999999999	108,677	1586,2	198,159	2020,96	0,001	1823,08	0,002
5	555,763	2134,75999999999	277,92	1700,34	396,42	2197,61999999999	38,299	1496,1	61,62	2358,87999999999	119,129	1486,46	211,381	2187,22	0,001	1794,02	0,002
6	559,259	1967,83999999999	244,49	1408,8	589,285	2124,53999999999	35,104	1150,96	45,871	1962,83999999999	127,707	1617,34	141,733	1932,94	0,001	1601,14	0,002
7	558,19	1893,49999999999	318,239	1313,06	584,131	2200,63999999999	52,042	1495,26	52,019	1878,19999999999	95,102	1642,6	119,359	2098,38	0,001	1788,82	0,002
8	561,058	2179,91999999999	316,348	1759,96	482,461	2051,05999999999	43,531	1495,3	45,041	2344,39999999999	102,418	1678,86	106,465	2269,84	0,001	1855,3	0,002
9	559,591	2097,07999999999	234,095	1900,18	496,77	1896,71999999999	51,59	1288,86	59,655	1945,83999999999	145,801	1504,78	137,203	2214,58	0,001	1657,56	0,002
10	561,409	2579,93999999998	374,364	1544,2	486,118	2180,41999999999	33,372	1261,7	42,774	1929,83999999999	263,582	1198,92	212,98	2181,2	0,001	1804,76	0,002
11	558,928	2398,97999999999	409,534	1918,98	588,881	1697,4	54,724	1207,02	41,763	2022,47999999999	131,453	1884,38	115,563	2082,44	0,001	1834,16	0,002
12	558,905	2152,51999999999	256,277	1703,06	577,902	1928,47999999999	47,414	1378,32	59,475	1962,59999999999	157,054	1790,7	183,245	2104,26	0,001	1833,48	0,002
13	559,748	2115,73999999999	261,949	1745,88	509,386	1844,05999999999	55,146	1600,22	35,074	2131,03999999999	101,323	1785,43999999999	123,261	2203,36	0,001	1717,82	0,002
14	557,899	2371,21999999999	258,228	1887,82	598,184	2470,69999999999	35,249	1545,36	47,611	2141,4	105,621	1820,48	135,349	2104,6	0,001	1767,34	0,002
15	557,874	2325,71999999999	291,02	1736,98	468,251	2351,87999999999	36,574	1621,46	37,593	2404,21999999999	130,418	1737,04	137,428	2120,4	0,001	1783,28	0,002
16	558,147	2359,85999999999	384,78	1561,08	603,533	1461,08	64,866	1541,56	33,577	2268,05999999999	103,353	1679,24	243,132	2209,72	0,001	1678,02	0,002
17	560,096	2205,77999999999	199,131	1334,2	504,7	2154,85999999999	40,308	1396,34	54,518	2408,35999999999	198,713	1451,52	175,547	2054,4	0,002	1745,86	0,003
18	590,75	2393,05999999999	226,882	1829,11999999999	566,074	1973,23999999999	32,694	1528,18	35,746	2253,99999999999	163,873	1737,32	193,214	2148,58	0,001	1744,84	0,002
19	563,881	2345,65999999999	255,313	1643	521,229	2163,35999999999	49,467	1472,84	45,014	2295,23999999999	130,681	1684,1	144,894	1993,6	0,001	1794,02	0,002
20	563,878	2394,19999999999	200,161	1172,4	410,143	2012,75999999999	34,02	1466,56	58,954	2380,69999999999	117,229	1192,92	163,104	2159,18	0,001	1755,24	0,002
21	563,375	1871,73999999999	319,916	1646,5	456,564	2240,13999999999	30,868	1414,24	43,949	2197,33999999999	137,522	1481,94	176,399	2291,86	0,001	1833,14	0,002
22	564,912	2623,09999999999	214,308	1698,7	584,248	2405,95999999999	39,264	1563,2	55,885	1962,93999999999	135,599	1726,24	139,367	2043,12	0,001	1788,14	0,002
23	562,397	2554,21999999999	229,497	1466,2	701,356	1711,34	29,608	1399,12	44,814	2073,9	143,314	1260,48	164,164	2142,7	0,001	1777,4	0,002
24	564,24	2684,85999999998	246,738	1875,74	594,693	2350,39999999999	32,622	1510,5	55,794	2311,63999999999	166,876	1642,8	120,524	2048,66	0,001	1788,82	0,002
25	562,666	2021,05999999999	283,711	1850,8	553,711	2059,19999999999	56,065	1830,68	44,707	2103,25999999999	107,119	1759,38	119,835	2203,36	0,001	1849,42	0,002
26	565,032	2138,25999999999	185,645	1447,2	524,104	2120,83999999999	32,896	1577,88	57,495	2100,95999999999	177,844	1576,38	129,576	2120,54	0,001	1777,4	0,002
27	564,336	1976,23999999999	281,724	1592,32	711,668	2064,55999999999	28,652	1442,9	52,873	2024,89999999999	80,901	1202,6	164,567	2038,06	0,001	1738,62	0,002
28	564,584	1961,04	337,549	1485,06	623,286	2089,57999999999	48,447	1793,12	33,124	2526,05999999999	121,211	1770,36	138,066	2170,6	0,001	1850,1	0,002
29	564,129	2290,53999999999	273,899	1616,54	717,479	1842,3	48,302	1419,4	42,812	2364,21999999999	144,056	1826,2	145,776	2027,18	0,001	1717,14	0,002
30	564,739	2394,93999999999	219,536	1143,9	515,31	1950,83999999999	45,564	1692,94	55,822	2226,81999999999	112,617	1641,24	119,72	1988,88	0,001	1700,86	0,002
31	563,306	2246,45999999999	275,9	1401,66	650,716	2243,29999999999	41,282	1680,4	36,749	2182,25999999999	168,223	1539	172,093	2247,68	0,001	1754,9	0,002
32	564,129	2233,39999999999	322,372	1724,4	530,306	1715,02	49,735	1411,48	59,419	2607,51999999999	124,078	1561,64	144,561	2082,1	0,001	1766,32	0,002
33	565,82	2293,21999999999	345,227	1889,03999999999	500,01	2413,67999999999	48,518	1615,58	44,802	2647,05999999999	94,449	1862,02	175,628	2148,1	0,001	1745,18	0,003
34	563,85	2075,79999999999	296,232	1548,68	781,234	2061,19999999999	40,475	1598,62	50,678	1978,49999999999	130,468	1528,16	173,346	2065,48	0,001	1788,82	0,002
35	564,495	2613,51999999999	260,938	1652,7	508,253	1708,86	51,556	1675,5	51,886	1904,53999999999	165,623	1718,66	156,83	1987,86	0,001	1782,26	0,002
36	564,701	2659,11999999999	209,897	1271,08	447,702	1977,55999999999	53,717	1604,84	52,704	2131,67999999999	133,529	1839,24	117,984	2159,18	0,001	1804,42	0,002
37	565,229	2317,93999999999	305,305	1615,3	566,453	1637,38	54,127	1756,62	44,292	2059,21999999999	103,581	1672,88	156,342	2397,32	0,001	1927,66	0,002
38	564,44	2435,73999999999	286,78	1773,1	505,97	1991,56	45,964	1494,38	52,751	1994,37999999999	178,263	1525,04	120,208	2077,58	0,001	1850,44	0,002
39	565,011	2456,05999999998	205,853	1249,02	503,941	2144,73999999999	40,139	1527,86	35,106	2369,95999999999	151,734	1743,68	182,648	1921,86	0,001	1739,3	0,002
40	565,261	2740,21999999998	273,881	1798,44	581,235	2100,65999999999	39,539	1310,58	53,903	1947,96	144,455	1881,12	144,476	2120,74	0,001	1849,76	0,002
41	565,343	2022,47999999999	267,805	1784,11999999999	550,86	1982,89999999999	41,957	1688,34	49,144	2182,63999999999	117,414	1611,54	126,648	2154,12	0,001	1722,34	0,002
42	565,359	2579,21999999998	267,935	1472,08	741,268	2144,29999999999	74,096	1678,8	45,674	2235,23999999999	142,347	1680,16	103,972	2076,22	0,001	1611,88	0,002
43	565,339	2245,43999999999	212,471	1712,4	516,55	1939,24	45,185	1518,9	40,345	2321,93999999999	115,489	1514,5	153,308	2148,1	0,001	1760,78	0,002
44	566,468	2173,75999999999	275,524	1765,06	431,129	1988,04	64,491	1731,38	62,464	2094,69999999999	131,271	1664,42	148,091	2220,32	0,001	1805,78	0,002
45	565,223	2561,95999999999	208,022	1689,52	524,262	1703,77999999999	35,3	1474,6	43,244	2276,63999999999	194,349	1437,58	158,666	2094,2	0,001	1789,5	0,002
46	564,921	2199,13999999999	325,165	1873,64	489,626	1700,92	54,24	1851,48	44,028	2327,41999999999	145,949	1615,78	142,906	2028,4	0,001	1718,16	0,002
47	565,367	2280,09999999999	277,195	1883,02	532,198	2215,11999999999	51,401	1811,62	48,773	2312,31999999999	157,31	1661,5	197,795	2258,9	0,001	1849,08	0,002
48	565,304	2003,61999999999	250,289	1090,3	342,563	2287,33999999999	38,188	1352,24	39,452	2246,49999999999	102,475	1216,36	147,517	1977,12	0,001	1591,08	0,002
49	565,285	1852,68	358,727	1384,12	567,2	2028,97999999999	38,958	1588,28	42,297	2042,05999999999	97,396	1873,5	141,987	2330,84	0,001	1761,46	0,002
50	565,001	2238,79999999999	345,782	1650,96	762,705	2005,87999999999	38,67	1749,76	42,686	2488,45999999999	110,372	1898,76	136,509	2209,24	0,001	1827,6	0,002
