2017-09-03 21:34:53:3333	../../../files/testListWithPickListSize025.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
1	52,217	806,400000000002	5,486	671,580000000001	7,494	738,800000000001	2,395	692,380000000001	5,563	739,480000000001	4,591	663,080000000001	3,377	1038,92	0,003	814,02	0,005
2	48,299	753,960000000002	4,7	704,140000000001	7,994	684,700000000001	1,905	534,44	2,422	624,100000000001	2,396	599,6	4,765	949,94	0	829,96	0,001
3	48,723	724,180000000001	5,033	650,440000000001	5,094	591,540000000001	3,159	617,680000000001	2,853	704,340000000001	2,966	596,200000000001	3,368	932,4	0	854,16	0
4	49,269	781,460000000001	4,624	757,700000000001	7,792	706,820000000001	2,603	757,500000000001	1,934	671,240000000001	4,512	746,760000000001	4,073	1022,64	0	846,24	0
5	50,178	733,260000000001	5,537	630,860000000001	5,383	653,020000000001	2,187	655,500000000001	2,616	724,460000000001	3,639	555	3,469	989,74	0	767,56	0
6	48,955	664,540000000001	6,263	624,780000000001	9,23	605,240000000001	2,614	722,860000000001	2,15	619,14	2,853	559,18	2,431	857,6	0	697,24	0
7	48,8	677,180000000001	5,05	545,54	8,126	599,240000000001	2,799	535,140000000001	4,515	731,560000000001	2,774	593,440000000001	3,787	961,7	0	815,38	0
8	48,923	679,800000000001	4,65	700,840000000001	11,515	704,340000000001	2,528	697,200000000001	5,181	719,120000000001	2,659	706,380000000001	5,446	1005,54	0	807,36	0
9	50,951	692,240000000001	6,014	641,060000000001	6,628	625,460000000001	3,094	625,460000000001	5,008	678,000000000001	2,146	719,740000000001	3,064	1021,76	0	839,34	0,001
10	50,859	541,440000000001	9,061	490,26	5,774	508,1	3,008	407,3	2,268	601,160000000001	2,75	547,56	4,442	822,9	0	726,3	0,001
11	45,114	718,820000000001	3,992	529,920000000001	8,406	706,920000000001	3,312	746,280000000002	2,669	663,280000000001	2,136	767,220000000002	2,316	934	0	818,88	0,001
12	46,44	638,64	5,424	744,220000000001	5,877	661,300000000001	2,138	629,320000000001	2,462	708,420000000001	3,73	640,400000000001	4,993	928,8	0	862,86	0,001
13	46,733	692,040000000001	4,639	684,220000000001	8,167	667,940000000001	1,524	509,800000000001	4,481	705,940000000001	2,458	611,860000000001	3,271	923,74	0	813	0,001
14	30,111	797,220000000001	6,892	606,660000000001	7,355	621,380000000001	2,042	595,580000000001	3,87	636,440000000001	3,91	623,280000000001	3,828	966,22	0	832,78	0
15	29,314	798,140000000002	5,357	622,400000000001	5,336	630,520000000001	2,918	557,28	2,064	599,980000000001	3,088	619,100000000001	3,344	934,48	0	823,74	0
16	28,557	848,200000000001	5,285	692,920000000001	14,877	681,640000000001	2,074	759,800000000001	3,08	645,480000000001	3,386	748,180000000001	3,48	968,6	0	845,56	0
17	28,578	846,980000000001	4,928	816,220000000001	9,455	790,020000000001	1,724	677,080000000001	3,555	793,520000000001	3,861	664,440000000001	6,023	935,36	0	956,02	0
18	32,096	844,740000000002	6,113	689,280000000001	8,786	712,160000000001	2,346	690,300000000001	2,21	718,680000000001	3,94	739,140000000001	3,873	971,42	0	936	0
19	27,537	885,620000000002	8,042	744,340000000001	5,834	778,560000000001	2,639	720,080000000001	2,897	854,080000000002	3,349	654,020000000001	4,761	982,5	0	854,94	0
20	46,686	181,52	5,403	568,920000000001	5,758	548,160000000001	1,533	591,420000000001	2,251	430,48	2,599	491,5	2,227	852,88	0	754,44	0
21	50,427	640,82	5,659	688,940000000001	6,413	547,42	3,846	499,980000000001	1,902	729,520000000001	3,367	601,460000000001	4,549	963,06	0	781,12	0
22	31,133	843,980000000001	5,329	677,660000000001	13,58	824,860000000001	1,885	672,120000000001	3,029	752,020000000001	3,725	711,440000000001	3,681	1011,08	0	878,12	0
23	29,223	637,780000000001	5,218	604,96	6,926	585,320000000001	3,381	574,920000000001	3,878	738,600000000001	2,562	658,220000000001	4,742	1048,5	0	886,48	0
24	29,472	880,560000000002	5,451	569,380000000001	7,598	580,320000000001	1,84	579,980000000001	2,234	648,040000000001	2,659	650,080000000001	4,475	993,04	0	823,06	0
25	28,916	674,56	4,761	611,660000000001	4,533	691,700000000001	2,34	553,300000000001	2,876	780,600000000001	3,515	692,580000000001	3,108	968,6	0	808,48	0
26	28,567	696,86	6,869	631,780000000001	4,37	601,600000000001	2,96	584,84	2,6	623,620000000001	2,773	605,100000000001	4,09	947,46	0	723,24	0,001
27	28,471	681,300000000001	5,149	648,500000000001	6,603	501,78	2,049	664,680000000001	2,167	704,200000000001	3,172	692,720000000001	3,522	947,46	0	792,54	0
28	28,453	646,660000000001	6,951	615,940000000001	7,513	469,460000000001	1,569	599,320000000001	1,674	716,200000000001	2,368	579,100000000001	3,018	896,72	0	738,84	0
29	29,022	724,460000000001	5,331	696,900000000001	5,968	683,880000000001	2,047	641,400000000001	2,39	701,520000000001	4,73	635,72	4,285	941,72	0	841,04	0
30	29,563	527,080000000001	5,72	548,920000000001	8,945	578,080000000001	2,474	541,020000000001	2,76	653,940000000001	2,714	544,180000000001	7,441	1045,2	0	857,32	0
31	28,561	790,800000000001	5,597	673,620000000001	5,694	660,840000000001	2,865	615,46	2,439	686,700000000001	2,382	417,82	4,756	900,22	0	853,58	0
32	29,718	624,840000000001	6,047	517,520000000001	9,377	643,540000000001	2,933	592,080000000001	2,586	793,280000000001	2,621	546,74	4,337	956,84	0	854,94	0
33	29,276	727,080000000002	5,973	634,360000000001	7,147	612,200000000001	2,597	557,820000000001	2,121	689,180000000001	2,585	700,400000000002	3,634	1010,4	0	834,48	0
34	30,513	689,080000000001	5,601	602,400000000001	12,205	689,280000000001	1,341	663,960000000001	2,689	667,840000000002	2,991	668,140000000001	5,312	1072,36	0	873,26	0
