2017-09-01 15:11:41:0064	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	46,754	50	50	0,6	0,01	Ordered	Inversion	905,740000000002	0,201
1	46,754	50	50	0,6	0,02	Ordered	Inversion	839,500000000001	0,161
1	46,754	50	50	0,6	0,03	Ordered	Inversion	876,040000000002	0,731
1	46,754	50	50	0,6	0,04	Ordered	Inversion	802,460000000002	0,181
1	46,754	50	50	0,6	0,05	Ordered	Inversion	810,720000000002	0,239
1	46,754	50	50	0,6	0,06	Ordered	Inversion	753,180000000001	0,44
1	46,754	50	50	0,6	0,07	Ordered	Inversion	776,460000000002	0,17
1	46,754	50	50	0,6	0,08	Ordered	Inversion	723,780000000001	0,155
1	46,754	50	50	0,6	0,09	Ordered	Inversion	798,760000000002	0,399
1	46,754	50	50	0,6	0,1	Ordered	Inversion	703,320000000001	0,125
1	46,754	50	50	0,6	0,11	Ordered	Inversion	687,720000000001	0,216
1	46,754	50	50	0,6	0,12	Ordered	Inversion	666,040000000001	0,442
1	46,754	50	50	0,65	0,01	Ordered	Inversion	961,520000000003	0,071
1	46,754	50	50	0,65	0,02	Ordered	Inversion	812,320000000002	0,058
1	46,754	50	50	0,65	0,03	Ordered	Inversion	832,200000000002	0,139
1	46,754	50	50	0,65	0,04	Ordered	Inversion	714,400000000001	0,18
1	46,754	50	50	0,65	0,05	Ordered	Inversion	783,700000000002	0,341
1	46,754	50	50	0,65	0,06	Ordered	Inversion	718,000000000001	0,209
1	46,754	50	50	0,65	0,07	Ordered	Inversion	751,820000000001	0,38
1	46,754	50	50	0,65	0,08	Ordered	Inversion	784,580000000001	0,069
1	46,754	50	50	0,65	0,09	Ordered	Inversion	749,780000000002	0,087
1	46,754	50	50	0,65	0,1	Ordered	Inversion	659,000000000001	0,186
1	46,754	50	50	0,65	0,11	Ordered	Inversion	725,140000000001	0,263
1	46,754	50	50	0,65	0,12	Ordered	Inversion	771,400000000002	0,236
1	46,754	50	50	0,7	0,01	Ordered	Inversion	745,260000000001	0,133
1	46,754	50	50	0,7	0,02	Ordered	Inversion	824,960000000002	0,159
1	46,754	50	50	0,7	0,03	Ordered	Inversion	717,320000000001	0,267
1	46,754	50	50	0,7	0,04	Ordered	Inversion	798,180000000001	0,186
1	46,754	50	50	0,7	0,05	Ordered	Inversion	736,900000000001	0,197
1	46,754	50	50	0,7	0,06	Ordered	Inversion	666,040000000001	0,449
1	46,754	50	50	0,7	0,07	Ordered	Inversion	728,980000000001	0,306
1	46,754	50	50	0,7	0,08	Ordered	Inversion	720,280000000001	0,282
1	46,754	50	50	0,7	0,09	Ordered	Inversion	724,600000000001	0,294
1	46,754	50	50	0,7	0,1	Ordered	Inversion	738,500000000001	0,193
1	46,754	50	50	0,7	0,11	Ordered	Inversion	734,520000000001	0,447
1	46,754	50	50	0,7	0,12	Ordered	Inversion	695,160000000001	0,2
1	46,754	50	50	0,75	0,01	Ordered	Inversion	913,460000000002	0,087
1	46,754	50	50	0,75	0,02	Ordered	Inversion	887,120000000002	0,307
1	46,754	50	50	0,75	0,03	Ordered	Inversion	838,960000000001	0,101
1	46,754	50	50	0,75	0,04	Ordered	Inversion	768,640000000001	0,122
1	46,754	50	50	0,75	0,05	Ordered	Inversion	709,540000000001	0,22
1	46,754	50	50	0,75	0,06	Ordered	Inversion	714,880000000001	0,299
1	46,754	50	50	0,75	0,07	Ordered	Inversion	702,440000000001	0,15
1	46,754	50	50	0,75	0,08	Ordered	Inversion	715,420000000001	0,162
1	46,754	50	50	0,75	0,09	Ordered	Inversion	711,820000000002	0,459
1	46,754	50	50	0,75	0,1	Ordered	Inversion	652,920000000001	0,157
1	46,754	50	50	0,75	0,11	Ordered	Inversion	629,840000000001	0,336
1	46,754	50	50	0,75	0,12	Ordered	Inversion	771,840000000001	0,15
1	46,754	50	50	0,8	0,01	Ordered	Inversion	842,800000000002	0,097
1	46,754	50	50	0,8	0,02	Ordered	Inversion	795,940000000001	0,134
1	46,754	50	50	0,8	0,03	Ordered	Inversion	707,300000000001	0,33
1	46,754	50	50	0,8	0,04	Ordered	Inversion	775,440000000002	0,104
1	46,754	50	50	0,8	0,05	Ordered	Inversion	697,780000000001	0,148
1	46,754	50	50	0,8	0,06	Ordered	Inversion	647,040000000001	0,129
1	46,754	50	50	0,8	0,07	Ordered	Inversion	721,880000000002	0,384
1	46,754	50	50	0,8	0,08	Ordered	Inversion	744,720000000002	0,197
1	46,754	50	50	0,8	0,09	Ordered	Inversion	753,380000000001	0,176
1	46,754	50	50	0,8	0,1	Ordered	Inversion	723,920000000001	0,369
1	46,754	50	50	0,8	0,11	Ordered	Inversion	727,720000000001	0,171
1	46,754	50	50	0,8	0,12	Ordered	Inversion	729,120000000001	0,213
1	46,754	50	50	0,85	0,01	Ordered	Inversion	875,940000000002	0,083
1	46,754	50	50	0,85	0,02	Ordered	Inversion	819,220000000002	0,354
1	46,754	50	50	0,85	0,03	Ordered	Inversion	749,200000000001	0,237
