2017-07-28 12:55:56:7890	../../../files/testListWithPickListSize006.txt
tabuLength	numberOfIterations	travelledDistance	runningTime
5	10	355,16	0,091
6	10	632,760000000002	0,084
5	20	910,360000000003	0,112
6	20	1187,96	0,112

5	10	321,38	0,106
6	10	522,580000000002	0,107
5	20	723,780000000003	0,093
6	20	924,980000000004	0,075

5	10	346,12	0,089
6	10	592,520000000001	0,091
5	20	838,920000000002	0,087
6	20	1085,32	0,09

2017-07-28 12:58:36:2122	../../../files/testListWithPickListSize007.txt
tabuLength	numberOfIterations	travelledDistance	runningTime
5	10	302,48	0,085
6	10	538,480000000001	0,078
5	20	739,680000000002	0,09
6	20	954,880000000003	0,072

5	10	361,58	0,085
6	10	684,380000000001	0,093
5	20	1007,18	0,085
6	20	1329,98	0,09

5	10	335,38	0,065
6	10	576,580000000001	0,075
5	20	817,780000000002	0,071
6	20	1058,98	0,071

