2017-09-27 20:47:44:7662	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	28,828	130	50	0,6	0,01	Ordered	Inversion	760,860000000002	0,965
1	28,828	130	50	0,6	0,02	Ordered	Inversion	721,640000000001	0,641
1	28,828	130	50	0,6	0,03	Ordered	Inversion	694,960000000001	0,553
1	28,828	130	50	0,6	0,04	Ordered	Inversion	738,120000000001	0,441
1	28,828	130	50	0,6	0,05	Ordered	Inversion	742,100000000001	0,338
1	28,828	130	50	0,6	0,06	Ordered	Inversion	697,580000000002	0,279
1	28,828	130	50	0,6	0,07	Ordered	Inversion	644,760000000001	0,372
1	28,828	130	50	0,6	0,08	Ordered	Inversion	663,420000000001	0,341
1	28,828	130	50	0,6	0,09	Ordered	Inversion	712,120000000001	0,593
1	28,828	130	50	0,6	0,1	Ordered	Inversion	713,180000000002	0,345
1	28,828	130	50	0,6	0,11	Ordered	Inversion	702,440000000001	0,503
1	28,828	130	50	0,6	0,12	Ordered	Inversion	624,640000000001	0,615
1	28,828	130	50	0,65	0,01	Ordered	Inversion	770,000000000001	0,383
1	28,828	130	50	0,65	0,02	Ordered	Inversion	773,060000000001	0,543
1	28,828	130	50	0,65	0,03	Ordered	Inversion	691,760000000001	0,494
1	28,828	130	50	0,65	0,04	Ordered	Inversion	724,120000000001	0,563
1	28,828	130	50	0,65	0,05	Ordered	Inversion	719,400000000001	0,526
1	28,828	130	50	0,65	0,06	Ordered	Inversion	622,6	0,269
1	28,828	130	50	0,65	0,07	Ordered	Inversion	671,780000000001	0,553
1	28,828	130	50	0,65	0,08	Ordered	Inversion	739,860000000001	0,254
1	28,828	130	50	0,65	0,09	Ordered	Inversion	718,720000000001	0,559
1	28,828	130	50	0,65	0,1	Ordered	Inversion	700,500000000001	0,285
1	28,828	130	50	0,65	0,11	Ordered	Inversion	713,380000000001	0,407
1	28,828	130	50	0,65	0,12	Ordered	Inversion	633,140000000001	0,341
1	28,828	130	50	0,7	0,01	Ordered	Inversion	807,420000000001	0,673
1	28,828	130	50	0,7	0,02	Ordered	Inversion	673,820000000001	0,541
1	28,828	130	50	0,7	0,03	Ordered	Inversion	714,940000000001	0,749
1	28,828	130	50	0,7	0,04	Ordered	Inversion	694,620000000001	0,689
1	28,828	130	50	0,7	0,05	Ordered	Inversion	736,220000000001	0,227
1	28,828	130	50	0,7	0,06	Ordered	Inversion	633,140000000001	0,544
1	28,828	130	50	0,7	0,07	Ordered	Inversion	681,300000000001	0,31
1	28,828	130	50	0,7	0,08	Ordered	Inversion	665,700000000001	0,423
1	28,828	130	50	0,7	0,09	Ordered	Inversion	713,180000000001	0,326
1	28,828	130	50	0,7	0,1	Ordered	Inversion	692,380000000001	0,789
1	28,828	130	50	0,7	0,11	Ordered	Inversion	582,480000000001	0,498
