2017-09-01 15:00:02:5135	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	50,092	50	50	0,6	0,01	Ordered	Inversion	918,800000000002	0,179
1	50,092	50	50	0,6	0,02	Ordered	Inversion	835,360000000002	0,186
1	50,092	50	50	0,6	0,03	Ordered	Inversion	808,000000000002	0,947
1	50,092	50	50	0,6	0,04	Ordered	Inversion	717,460000000001	0,129
1	50,092	50	50	0,6	0,05	Ordered	Inversion	810,040000000002	0,105
1	50,092	50	50	0,6	0,06	Ordered	Inversion	738,740000000001	0,088
1	50,092	50	50	0,6	0,07	Ordered	Inversion	788,560000000002	0,298
1	50,092	50	50	0,6	0,08	Ordered	Inversion	663,080000000001	0,185
1	50,092	50	50	0,6	0,09	Ordered	Inversion	678,620000000001	0,241
1	50,092	50	50	0,6	0,1	Ordered	Inversion	732,920000000001	0,352
1	50,092	50	50	0,6	0,11	Ordered	Inversion	772,180000000001	0,166
1	50,092	50	50	0,6	0,12	Ordered	Inversion	667,600000000001	0,178
1	50,092	50	50	0,65	0,01	Ordered	Inversion	1051,24	0,09
1	50,092	50	50	0,65	0,02	Ordered	Inversion	752,160000000001	0,403
1	50,092	50	50	0,65	0,03	Ordered	Inversion	806,440000000002	0,102
1	50,092	50	50	0,65	0,04	Ordered	Inversion	733,840000000001	0,128
1	50,092	50	50	0,65	0,05	Ordered	Inversion	761,200000000002	0,175
1	50,092	50	50	0,65	0,06	Ordered	Inversion	759,640000000001	0,437
1	50,092	50	50	0,65	0,07	Ordered	Inversion	735,540000000001	0,13
1	50,092	50	50	0,65	0,08	Ordered	Inversion	688,740000000001	0,329
1	50,092	50	50	0,65	0,09	Ordered	Inversion	743,120000000001	0,169
1	50,092	50	50	0,65	0,1	Ordered	Inversion	753,580000000001	0,117
1	50,092	50	50	0,65	0,11	Ordered	Inversion	714,060000000001	0,2
1	50,092	50	50	0,65	0,12	Ordered	Inversion	719,940000000001	0,373
1	50,092	50	50	0,7	0,01	Ordered	Inversion	975,620000000002	0,177
1	50,092	50	50	0,7	0,02	Ordered	Inversion	854,220000000001	0,149
1	50,092	50	50	0,7	0,03	Ordered	Inversion	771,260000000002	0,212
1	50,092	50	50	0,7	0,04	Ordered	Inversion	767,420000000001	0,346
1	50,092	50	50	0,7	0,05	Ordered	Inversion	733,980000000001	0,216
1	50,092	50	50	0,7	0,06	Ordered	Inversion	770,920000000002	0,145
1	50,092	50	50	0,7	0,07	Ordered	Inversion	592,760000000001	0,405
1	50,092	50	50	0,7	0,08	Ordered	Inversion	840,660000000002	0,21
1	50,092	50	50	0,7	0,09	Ordered	Inversion	731,360000000001	0,202
1	50,092	50	50	0,7	0,1	Ordered	Inversion	698,120000000001	0,425
1	50,092	50	50	0,7	0,11	Ordered	Inversion	738,840000000002	0,119
1	50,092	50	50	0,7	0,12	Ordered	Inversion	714,400000000001	0,207
1	50,092	50	50	0,75	0,01	Ordered	Inversion	868,460000000002	0,161
1	50,092	50	50	0,75	0,02	Ordered	Inversion	707,640000000001	0,134
1	50,092	50	50	0,75	0,03	Ordered	Inversion	726,840000000001	0,415
1	50,092	50	50	0,75	0,04	Ordered	Inversion	806,200000000001	0,132
1	50,092	50	50	0,75	0,05	Ordered	Inversion	707,980000000002	0,156
1	50,092	50	50	0,75	0,06	Ordered	Inversion	692,380000000001	0,348
1	50,092	50	50	0,75	0,07	Ordered	Inversion	709,540000000001	0,266
1	50,092	50	50	0,75	0,08	Ordered	Inversion	638,680000000001	0,223
1	50,092	50	50	0,75	0,09	Ordered	Inversion	720,620000000001	0,435
1	50,092	50	50	0,75	0,1	Ordered	Inversion	701,620000000001	0,263
1	50,092	50	50	0,75	0,11	Ordered	Inversion	696,560000000001	0,449
1	50,092	50	50	0,75	0,12	Ordered	Inversion	713,180000000002	0,208
