2017-09-03 17:44:35:9737	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
2017-09-03 17:45:10:4004	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
2017-09-03 17:45:35:3189	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	39,74	100	450	0,8	0,08	Ordered	Inversion	633,140000000001	3,335
1	39,74	200	450	0,8	0,08	Ordered	Inversion	663,080000000001	3,105
1	39,74	300	450	0,8	0,08	Ordered	Inversion	663,080000000001	6,954
1	39,74	400	450	0,8	0,08	Ordered	Inversion	696,900000000001	4,348
1	39,74	500	450	0,8	0,08	Ordered	Inversion	696,900000000001	6,833

2	45,404	100	450	0,8	0,08	Ordered	Inversion	683,680000000001	3,641
2	45,404	200	450	0,8	0,08	Ordered	Inversion	565,74	3,784
2	45,404	300	450	0,8	0,08	Ordered	Inversion	556,6	3,786
2	45,404	400	450	0,8	0,08	Ordered	Inversion	562,14	12,409
2	45,404	500	450	0,8	0,08	Ordered	Inversion	664,100000000001	7,47

3	44,422	100	450	0,8	0,08	Ordered	Inversion	657,000000000001	2,953
3	44,422	200	450	0,8	0,08	Ordered	Inversion	607,280000000001	2,884
3	44,422	300	450	0,8	0,08	Ordered	Inversion	592,020000000001	5,824
3	44,422	400	450	0,8	0,08	Ordered	Inversion	586,820000000001	6,906
3	44,422	500	450	0,8	0,08	Ordered	Inversion	678,820000000001	8,726

4	44,57	100	450	0,8	0,08	Ordered	Inversion	674,360000000001	4,933
4	44,57	200	450	0,8	0,08	Ordered	Inversion	638,000000000001	3,214
4	44,57	300	450	0,8	0,08	Ordered	Inversion	746,760000000001	6,746
4	44,57	400	450	0,8	0,08	Ordered	Inversion	676,300000000001	5,137
4	44,57	500	450	0,8	0,08	Ordered	Inversion	719,260000000001	5,738

5	46,643	100	450	0,8	0,08	Ordered	Inversion	629,640000000001	3,498
5	46,643	200	450	0,8	0,08	Ordered	Inversion	481,420000000001	7,512
5	46,643	300	450	0,8	0,08	Ordered	Inversion	516,36	5,335
5	46,643	400	450	0,8	0,08	Ordered	Inversion	655,500000000001	4,983
5	46,643	500	450	0,8	0,08	Ordered	Inversion	664,100000000001	13,338

6	48,695	100	450	0,8	0,08	Ordered	Inversion	519,320000000001	3,068
6	48,695	200	450	0,8	0,08	Ordered	Inversion	545,66	3,116
6	48,695	300	450	0,8	0,08	Ordered	Inversion	547,020000000001	4,127
6	48,695	400	450	0,8	0,08	Ordered	Inversion	552,560000000001	4,751
6	48,695	500	450	0,8	0,08	Ordered	Inversion	545,66	8,794

7	49,203	100	450	0,8	0,08	Ordered	Inversion	650,100000000001	2,765
7	49,203	200	450	0,8	0,08	Ordered	Inversion	535,140000000001	2,935
7	49,203	300	450	0,8	0,08	Ordered	Inversion	590,94	5,317
7	49,203	400	450	0,8	0,08	Ordered	Inversion	649,92	6,212
7	49,203	500	450	0,8	0,08	Ordered	Inversion	535,140000000001	11,435

8	49,641	100	450	0,8	0,08	Ordered	Inversion	737,720000000001	2,586
8	49,641	200	450	0,8	0,08	Ordered	Inversion	693,740000000001	5,401
8	49,641	300	450	0,8	0,08	Ordered	Inversion	630,520000000001	7,955
8	49,641	400	450	0,8	0,08	Ordered	Inversion	693,740000000001	7,478
8	49,641	500	450	0,8	0,08	Ordered	Inversion	613,900000000001	7,735

9	48,229	100	450	0,8	0,08	Ordered	Inversion	698,460000000001	2,937
9	48,229	200	450	0,8	0,08	Ordered	Inversion	616,860000000001	3,494
9	48,229	300	450	0,8	0,08	Ordered	Inversion	703,120000000001	3,682
9	48,229	400	450	0,8	0,08	Ordered	Inversion	556,280000000001	7,983
9	48,229	500	450	0,8	0,08	Ordered	Inversion	614,1	8,71

10	50,766	100	450	0,8	0,08	Ordered	Inversion	578,320000000001	3,93
10	50,766	200	450	0,8	0,08	Ordered	Inversion	468,1	5,785
10	50,766	300	450	0,8	0,08	Ordered	Inversion	567,240000000001	4,621
10	50,766	400	450	0,8	0,08	Ordered	Inversion	362,98	13,246
10	50,766	500	450	0,8	0,08	Ordered	Inversion	572,780000000001	7,338

11	50,715	100	450	0,8	0,08	Ordered	Inversion	651,800000000001	3,185
11	50,715	200	450	0,8	0,08	Ordered	Inversion	711,920000000001	5,366
11	50,715	300	450	0,8	0,08	Ordered	Inversion	658,020000000001	7,912
11	50,715	400	450	0,8	0,08	Ordered	Inversion	735,100000000001	10,253
11	50,715	500	450	0,8	0,08	Ordered	Inversion	618,560000000001	7,373

12	51,865	100	450	0,8	0,08	Ordered	Inversion	634,860000000001	3,759
12	51,865	200	450	0,8	0,08	Ordered	Inversion	699,480000000001	4,27
12	51,865	300	450	0,8	0,08	Ordered	Inversion	726,840000000001	5,788
12	51,865	400	450	0,8	0,08	Ordered	Inversion	617,220000000001	13,609
12	51,865	500	450	0,8	0,08	Ordered	Inversion	634,860000000001	6,5

13	52,526	100	450	0,8	0,08	Ordered	Inversion	556,600000000001	8,088
13	52,526	200	450	0,8	0,08	Ordered	Inversion	595,240000000001	4,609
13	52,526	300	450	0,8	0,08	Ordered	Inversion	595,240000000001	5,208
13	52,526	400	450	0,8	0,08	Ordered	Inversion	628,480000000001	10,9
13	52,526	500	450	0,8	0,08	Ordered	Inversion	639,900000000001	8,933

14	54,548	100	450	0,8	0,08	Ordered	Inversion	645,440000000001	3,135
14	54,548	200	450	0,8	0,08	Ordered	Inversion	595,580000000001	5,111
14	54,548	300	450	0,8	0,08	Ordered	Inversion	595,580000000001	4,348
14	54,548	400	450	0,8	0,08	Ordered	Inversion	620,840000000001	9,714
14	54,548	500	450	0,8	0,08	Ordered	Inversion	525,74	6,453

15	31,299	100	450	0,8	0,08	Ordered	Inversion	622,400000000001	4,364
15	31,299	200	450	0,8	0,08	Ordered	Inversion	496,020000000001	5,872
15	31,299	300	450	0,8	0,08	Ordered	Inversion	613,700000000001	5,365
15	31,299	400	450	0,8	0,08	Ordered	Inversion	591,540000000001	5,638
15	31,299	500	450	0,8	0,08	Ordered	Inversion	545,540000000001	7,268

16	47,729	100	450	0,8	0,08	Ordered	Inversion	693,600000000001	3,143
16	47,729	200	450	0,8	0,08	Ordered	Inversion	779,860000000001	3,355
16	47,729	300	450	0,8	0,08	Ordered	Inversion	741,080000000001	4,407
16	47,729	400	450	0,8	0,08	Ordered	Inversion	665,020000000001	9,808
16	47,729	500	450	0,8	0,08	Ordered	Inversion	704,820000000001	5,51

17	47,239	100	450	0,8	0,08	Ordered	Inversion	677,800000000001	3,685
17	47,239	200	450	0,8	0,08	Ordered	Inversion	730,580000000001	3,681
17	47,239	300	450	0,8	0,08	Ordered	Inversion	677,800000000001	5,322
17	47,239	400	450	0,8	0,08	Ordered	Inversion	735,980000000001	5,951
17	47,239	500	450	0,8	0,08	Ordered	Inversion	711,720000000001	8,279

18	50,784	100	450	0,8	0,08	Ordered	Inversion	579,1	4,674
18	50,784	200	450	0,8	0,08	Ordered	Inversion	639,900000000001	3,614
18	50,784	300	450	0,8	0,08	Ordered	Inversion	629,5	10,398
18	50,784	400	450	0,8	0,08	Ordered	Inversion	711,100000000001	6,281
18	50,784	500	450	0,8	0,08	Ordered	Inversion	639,900000000001	8,844

19	54,524	100	450	0,8	0,08	Ordered	Inversion	722,520000000001	3,317
19	54,524	200	450	0,8	0,08	Ordered	Inversion	678,200000000001	5,215
19	54,524	300	450	0,8	0,08	Ordered	Inversion	737,100000000001	9,372
19	54,524	400	450	0,8	0,08	Ordered	Inversion	748,320000000001	4,552
19	54,524	500	450	0,8	0,08	Ordered	Inversion	628,020000000001	6,698

20	54,212	100	450	0,8	0,08	Ordered	Inversion	181,52	4,625
20	54,212	200	450	0,8	0,08	Ordered	Inversion	181,52	3,5
