2017-08-31 03:06:54:8975	../../../files/testListWithPickListSize025.txt
NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
5	10	0,6	0,01	Ordered	Inversion	1369,02	0,08
5	10	0,6	0,02	Ordered	Inversion	1255,16	0,001
5	10	0,6	0,03	Ordered	Inversion	1427,2	0,006
5	10	0,6	0,04	Ordered	Inversion	1292,58	0,001
5	10	0,6	0,05	Ordered	Inversion	1104,7	0,002
5	10	0,7	0,01	Ordered	Inversion	1296,76	0,002
5	10	0,7	0,02	Ordered	Inversion	1600,46	0,001
5	10	0,7	0,03	Ordered	Inversion	1381,86	0,003
5	10	0,7	0,04	Ordered	Inversion	1294,76	0,004
5	10	0,7	0,05	Ordered	Inversion	1510,3	0,001
5	10	0,8	0,01	Ordered	Inversion	1332,04	0,002
5	10	0,8	0,02	Ordered	Inversion	1295,16	0,002
5	10	0,8	0,03	Ordered	Inversion	1410	0,004
5	10	0,8	0,04	Ordered	Inversion	1268,62	0,001
5	10	0,8	0,05	Ordered	Inversion	1390,08	0,002
5	10	0,9	0,01	Ordered	Inversion	1310,22	0,003
5	10	0,9	0,02	Ordered	Inversion	1484,16	0,003
5	10	0,9	0,03	Ordered	Inversion	1395,9	0,004
5	10	0,9	0,04	Ordered	Inversion	1361,4	0,003
5	10	0,9	0,05	Ordered	Inversion	1304,78	0,002
5	20	0,6	0,01	Ordered	Inversion	1323,58	0,003
5	20	0,6	0,02	Ordered	Inversion	1376,66	0,001
5	20	0,6	0,03	Ordered	Inversion	1123,12	0,004
5	20	0,6	0,04	Ordered	Inversion	1376,18	0,002
5	20	0,6	0,05	Ordered	Inversion	1274,4	0,004
5	20	0,7	0,01	Ordered	Inversion	1152,62	0,004
5	20	0,7	0,02	Ordered	Inversion	1400,89999999999	0,001
5	20	0,7	0,03	Ordered	Inversion	1009,54	0,01
5	20	0,7	0,04	Ordered	Inversion	1369,62	0,003
5	20	0,7	0,05	Ordered	Inversion	1133,22	0,013
5	20	0,8	0,01	Ordered	Inversion	1062,8	0,014
5	20	0,8	0,02	Ordered	Inversion	1077,1	0,011
5	20	0,8	0,03	Ordered	Inversion	1163,22	0,006
5	20	0,8	0,04	Ordered	Inversion	1106,48	0,009
5	20	0,8	0,05	Ordered	Inversion	1224,64	0,002
5	20	0,9	0,01	Ordered	Inversion	1270,42	0,015
5	20	0,9	0,02	Ordered	Inversion	1147,12	0,012
5	20	0,9	0,03	Ordered	Inversion	1300,26	0,007
5	20	0,9	0,04	Ordered	Inversion	1164,58	0,012
5	20	0,9	0,05	Ordered	Inversion	1178,18	0,01
5	30	0,6	0,01	Ordered	Inversion	1170,22	0,004
5	30	0,6	0,02	Ordered	Inversion	967,500000000002	0,011
5	30	0,6	0,03	Ordered	Inversion	1220,9	0,01
5	30	0,6	0,04	Ordered	Inversion	1160,44	0,012
5	30	0,6	0,05	Ordered	Inversion	1014,94	0,011
5	30	0,7	0,01	Ordered	Inversion	1128,66	0,008
5	30	0,7	0,02	Ordered	Inversion	1340,02	0,003
5	30	0,7	0,03	Ordered	Inversion	1133,76	0,007
5	30	0,7	0,04	Ordered	Inversion	1058,72	0,01
5	30	0,7	0,05	Ordered	Inversion	1223,22	0,008
5	30	0,8	0,01	Ordered	Inversion	1328,74	0,005
5	30	0,8	0,02	Ordered	Inversion	1041,08	0,018
5	30	0,8	0,03	Ordered	Inversion	1042,92	0,008
5	30	0,8	0,04	Ordered	Inversion	1034,28	0,019
5	30	0,8	0,05	Ordered	Inversion	1040,3	0,013
5	30	0,9	0,01	Ordered	Inversion	1173,12	0,004
5	30	0,9	0,02	Ordered	Inversion	1188	0,012
5	30	0,9	0,03	Ordered	Inversion	1025,58	0,004
5	30	0,9	0,04	Ordered	Inversion	1197,06	0,002
5	30	0,9	0,05	Ordered	Inversion	1113,3	0,017
5	40	0,6	0,01	Ordered	Inversion	1261,58	0,005
5	40	0,6	0,02	Ordered	Inversion	1291,9	0,004
5	40	0,6	0,03	Ordered	Inversion	1160,48	0,005
5	40	0,6	0,04	Ordered	Inversion	983,880000000003	0,007
5	40	0,6	0,05	Ordered	Inversion	925,360000000002	0,015
5	40	0,7	0,01	Ordered	Inversion	1293,3	0,002
5	40	0,7	0,02	Ordered	Inversion	1173,7	0,008
5	40	0,7	0,03	Ordered	Inversion	1054,44	0,022
5	40	0,7	0,04	Ordered	Inversion	982,480000000002	0,017
5	40	0,7	0,05	Ordered	Inversion	1206,26	0,005
5	40	0,8	0,01	Ordered	Inversion	1116,94	0,015
5	40	0,8	0,02	Ordered	Inversion	1029,3	0,009
5	40	0,8	0,03	Ordered	Inversion	1073,12	0,008
5	40	0,8	0,04	Ordered	Inversion	1192,34	0,003
5	40	0,8	0,05	Ordered	Inversion	824,680000000001	0,022
5	40	0,9	0,01	Ordered	Inversion	1052,84	0,024
5	40	0,9	0,02	Ordered	Inversion	1206,76	0,005
5	40	0,9	0,03	Ordered	Inversion	1034,76	0,035
5	40	0,9	0,04	Ordered	Inversion	1102,7	0,021
5	40	0,9	0,05	Ordered	Inversion	1196,12	0,003
5	50	0,6	0,01	Ordered	Inversion	1029,56	0,012
5	50	0,6	0,02	Ordered	Inversion	981,940000000002	0,031
5	50	0,6	0,03	Ordered	Inversion	943,400000000002	0,018
5	50	0,6	0,04	Ordered	Inversion	1089,44	0,005
5	50	0,6	0,05	Ordered	Inversion	1028,34	0,027
5	50	0,7	0,01	Ordered	Inversion	1199,28	0,004
5	50	0,7	0,02	Ordered	Inversion	1078,46	0,021
5	50	0,7	0,03	Ordered	Inversion	1078,02	0,014
5	50	0,7	0,04	Ordered	Inversion	1175,46	0,01
5	50	0,7	0,05	Ordered	Inversion	921,240000000001	0,043
5	50	0,8	0,01	Ordered	Inversion	1021,84	0,011
5	50	0,8	0,02	Ordered	Inversion	797,360000000002	0,028
5	50	0,8	0,03	Ordered	Inversion	1058,48	0,015
5	50	0,8	0,04	Ordered	Inversion	1177,02	0,015
5	50	0,8	0,05	Ordered	Inversion	1243,16	0,017
5	50	0,9	0,01	Ordered	Inversion	1033,6	0,039
5	50	0,9	0,02	Ordered	Inversion	986,500000000002	0,019
5	50	0,9	0,03	Ordered	Inversion	978,920000000002	0,02
5	50	0,9	0,04	Ordered	Inversion	996,280000000002	0,036
5	50	0,9	0,05	Ordered	Inversion	1239,16	0,004
10	10	0,6	0,01	Ordered	Inversion	1281,36	0,003
10	10	0,6	0,02	Ordered	Inversion	1285	0,002
10	10	0,6	0,03	Ordered	Inversion	1231,98	0,003
10	10	0,6	0,04	Ordered	Inversion	1413,2	0,01
10	10	0,6	0,05	Ordered	Inversion	1111,64	0,006
10	10	0,7	0,01	Ordered	Inversion	1423,22	0,003
10	10	0,7	0,02	Ordered	Inversion	1267,84	0,006
10	10	0,7	0,03	Ordered	Inversion	1371,94	0,005
10	10	0,7	0,04	Ordered	Inversion	1351,44	0,006
10	10	0,7	0,05	Ordered	Inversion	1144,44	0,003
10	10	0,8	0,01	Ordered	Inversion	1314,22	0,006
10	10	0,8	0,02	Ordered	Inversion	1236,16	0,003
10	10	0,8	0,03	Ordered	Inversion	1309,6	0,003
10	10	0,8	0,04	Ordered	Inversion	1264,06	0,006
10	10	0,8	0,05	Ordered	Inversion	1153,84	0,009
10	10	0,9	0,01	Ordered	Inversion	1019,32	0,009
10	10	0,9	0,02	Ordered	Inversion	1489,93999999999	0,01
10	10	0,9	0,03	Ordered	Inversion	1283,36	0,005
10	10	0,9	0,04	Ordered	Inversion	1305,22	0,021
10	10	0,9	0,05	Ordered	Inversion	1148,68	0,016
10	20	0,6	0,01	Ordered	Inversion	1088,48	0,008
10	20	0,6	0,02	Ordered	Inversion	1162,82	0,007
10	20	0,6	0,03	Ordered	Inversion	1157,24	0,01
10	20	0,6	0,04	Ordered	Inversion	1225,36	0,009
10	20	0,6	0,05	Ordered	Inversion	1129,74	0,005
10	20	0,7	0,01	Ordered	Inversion	1295,16	0,005
10	20	0,7	0,02	Ordered	Inversion	1256,38	0,011
10	20	0,7	0,03	Ordered	Inversion	1133,32	0,013
10	20	0,7	0,04	Ordered	Inversion	1127,88	0,023
10	20	0,7	0,05	Ordered	Inversion	1203,64	0,004
10	20	0,8	0,01	Ordered	Inversion	897,820000000002	0,006
10	20	0,8	0,02	Ordered	Inversion	1084,14	0,013
10	20	0,8	0,03	Ordered	Inversion	1266,44	0,01
10	20	0,8	0,04	Ordered	Inversion	1055,62	0,013
10	20	0,8	0,05	Ordered	Inversion	1120,06	0,006
10	20	0,9	0,01	Ordered	Inversion	978,980000000002	0,039
10	20	0,9	0,02	Ordered	Inversion	1189,94	0,008
10	20	0,9	0,03	Ordered	Inversion	1130,26	0,041
10	20	0,9	0,04	Ordered	Inversion	1105,86	0,02
10	20	0,9	0,05	Ordered	Inversion	1047,6	0,023
10	30	0,6	0,01	Ordered	Inversion	1027,96	0,011
10	30	0,6	0,02	Ordered	Inversion	1027	0,015
10	30	0,6	0,03	Ordered	Inversion	1033,54	0,008
10	30	0,6	0,04	Ordered	Inversion	978,000000000003	0,016
10	30	0,6	0,05	Ordered	Inversion	985,480000000003	0,028
10	30	0,7	0,01	Ordered	Inversion	1098,14	0,021
10	30	0,7	0,02	Ordered	Inversion	1166,36	0,017
10	30	0,7	0,03	Ordered	Inversion	844,060000000002	0,018
10	30	0,7	0,04	Ordered	Inversion	1015,86	0,023
10	30	0,7	0,05	Ordered	Inversion	994,960000000003	0,027
10	30	0,8	0,01	Ordered	Inversion	1073,6	0,021
10	30	0,8	0,02	Ordered	Inversion	1091,68	0,014
10	30	0,8	0,03	Ordered	Inversion	893,920000000002	0,037
10	30	0,8	0,04	Ordered	Inversion	918,460000000002	0,033
10	30	0,8	0,05	Ordered	Inversion	1011,06	0,02
10	30	0,9	0,01	Ordered	Inversion	939,120000000002	0,038
10	30	0,9	0,02	Ordered	Inversion	1019,36	0,081
10	30	0,9	0,03	Ordered	Inversion	1030,58	0,022
10	30	0,9	0,04	Ordered	Inversion	969,500000000002	0,041
10	30	0,9	0,05	Ordered	Inversion	1019,02	0,033
10	40	0,6	0,01	Ordered	Inversion	917,300000000002	0,021
10	40	0,6	0,02	Ordered	Inversion	1144,74	0,014
10	40	0,6	0,03	Ordered	Inversion	1068,06	0,02
10	40	0,6	0,04	Ordered	Inversion	934,260000000002	0,028
10	40	0,6	0,05	Ordered	Inversion	861,120000000001	0,036
10	40	0,7	0,01	Ordered	Inversion	1045,94	0,022
10	40	0,7	0,02	Ordered	Inversion	1027,86	0,028
10	40	0,7	0,03	Ordered	Inversion	1223,62	0,008
10	40	0,7	0,04	Ordered	Inversion	999,960000000003	0,035
10	40	0,7	0,05	Ordered	Inversion	918,120000000002	0,03
10	40	0,8	0,01	Ordered	Inversion	844,640000000001	0,023
10	40	0,8	0,02	Ordered	Inversion	909,520000000002	0,035
10	40	0,8	0,03	Ordered	Inversion	996,420000000002	0,029
10	40	0,8	0,04	Ordered	Inversion	972,220000000002	0,057
10	40	0,8	0,05	Ordered	Inversion	1115,78	0,011
10	40	0,9	0,01	Ordered	Inversion	966,440000000002	0,044
10	40	0,9	0,02	Ordered	Inversion	874,000000000002	0,05
10	40	0,9	0,03	Ordered	Inversion	813,160000000001	0,079
10	40	0,9	0,04	Ordered	Inversion	1035,98	0,02
10	40	0,9	0,05	Ordered	Inversion	911,420000000002	0,068
10	50	0,6	0,01	Ordered	Inversion	1058,92	0,03
10	50	0,6	0,02	Ordered	Inversion	975,860000000002	0,019
10	50	0,6	0,03	Ordered	Inversion	993,020000000002	0,019
10	50	0,6	0,04	Ordered	Inversion	920,260000000002	0,02
10	50	0,6	0,05	Ordered	Inversion	936,900000000002	0,052
10	50	0,7	0,01	Ordered	Inversion	980,620000000002	0,026
10	50	0,7	0,02	Ordered	Inversion	904,220000000002	0,063
10	50	0,7	0,03	Ordered	Inversion	898,260000000002	0,06
10	50	0,7	0,04	Ordered	Inversion	972,360000000002	0,032
10	50	0,7	0,05	Ordered	Inversion	830,400000000001	0,069
10	50	0,8	0,01	Ordered	Inversion	925,320000000003	0,027
10	50	0,8	0,02	Ordered	Inversion	975,220000000002	0,044
10	50	0,8	0,03	Ordered	Inversion	902,040000000002	0,055
10	50	0,8	0,04	Ordered	Inversion	942,960000000002	0,036
10	50	0,8	0,05	Ordered	Inversion	853,300000000001	0,063
