2017-09-01 14:36:37:1533	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	47,286	50	100	0,6	0,01	Ordered	Inversion	812,620000000001	0,256
1	47,286	50	100	0,6	0,02	Ordered	Inversion	845,620000000002	0,157
1	47,286	50	100	0,6	0,03	Ordered	Inversion	697,440000000001	0,247
1	47,286	50	100	0,6	0,04	Ordered	Inversion	740,200000000002	1,118
1	47,286	50	100	0,6	0,05	Ordered	Inversion	633,140000000001	0,868
1	47,286	50	100	0,7	0,01	Ordered	Inversion	796,000000000001	0,408
1	47,286	50	100	0,7	0,02	Ordered	Inversion	756,680000000001	0,227
1	47,286	50	100	0,7	0,03	Ordered	Inversion	701,620000000002	0,156
1	47,286	50	100	0,7	0,04	Ordered	Inversion	576,940000000001	0,676
1	47,286	50	100	0,7	0,05	Ordered	Inversion	704,340000000001	0,597
1	47,286	50	100	0,8	0,01	Ordered	Inversion	706,040000000001	0,526
1	47,286	50	100	0,8	0,02	Ordered	Inversion	754,940000000001	0,458
1	47,286	50	100	0,8	0,03	Ordered	Inversion	720,280000000001	0,622
1	47,286	50	100	0,8	0,04	Ordered	Inversion	682,860000000001	0,252
1	47,286	50	100	0,8	0,05	Ordered	Inversion	713,860000000001	0,264
1	47,286	50	100	0,9	0,01	Ordered	Inversion	682,860000000001	0,932
1	47,286	50	100	0,9	0,02	Ordered	Inversion	733,300000000002	0,598
1	47,286	50	100	0,9	0,03	Ordered	Inversion	708,520000000001	0,296
1	47,286	50	100	0,9	0,04	Ordered	Inversion	698,120000000001	0,671
1	47,286	50	100	0,9	0,05	Ordered	Inversion	671,580000000001	0,68
1	47,286	50	100	1	0,01	Ordered	Inversion	1330,3	60,011
1	47,286	50	100	1	0,02	Ordered	Inversion	1281,02	60,013
1	47,286	50	100	1	0,03	Ordered	Inversion	1303,04	60,007
1	47,286	50	100	1	0,04	Ordered	Inversion	1332,38	60,007
1	47,286	50	100	1	0,05	Ordered	Inversion	1302,6	60,008
1	47,286	50	200	0,6	0,01	Ordered	Inversion	734,320000000002	0,57
1	47,286	50	200	0,6	0,02	Ordered	Inversion	726,160000000001	0,989
1	47,286	50	200	0,6	0,03	Ordered	Inversion	644,560000000001	0,75
1	47,286	50	200	0,6	0,04	Ordered	Inversion	749,680000000001	0,678
1	47,286	50	200	0,6	0,05	Ordered	Inversion	769,120000000001	0,614
1	47,286	50	200	0,7	0,01	Ordered	Inversion	709,000000000001	1,606
1	47,286	50	200	0,7	0,02	Ordered	Inversion	706,280000000001	0,688
1	47,286	50	200	0,7	0,03	Ordered	Inversion	652,000000000001	0,824
1	47,286	50	200	0,7	0,04	Ordered	Inversion	700,840000000001	0,765
1	47,286	50	200	0,7	0,05	Ordered	Inversion	692,380000000001	0,65
1	47,286	50	200	0,8	0,01	Ordered	Inversion	707,640000000001	1,128
1	47,286	50	200	0,8	0,02	Ordered	Inversion	770,920000000001	0,671
1	47,286	50	200	0,8	0,03	Ordered	Inversion	728,440000000001	0,711
1	47,286	50	200	0,8	0,04	Ordered	Inversion	706,040000000001	0,726
1	47,286	50	200	0,8	0,05	Ordered	Inversion	696,900000000001	1,035
1	47,286	50	200	0,9	0,01	Ordered	Inversion	738,700000000002	0,921
1	47,286	50	200	0,9	0,02	Ordered	Inversion	717,120000000001	0,99
1	47,286	50	200	0,9	0,03	Ordered	Inversion	635,040000000001	3,01
1	47,286	50	200	0,9	0,04	Ordered	Inversion	694,620000000001	1,475
1	47,286	50	200	0,9	0,05	Ordered	Inversion	649,960000000001	1,62
1	47,286	50	200	1	0,01	Ordered	Inversion	1299,82	60,009
1	47,286	50	200	1	0,02	Ordered	Inversion	1196,98	60,01
1	47,286	50	200	1	0,03	Ordered	Inversion	1297,34	60,008
1	47,286	50	200	1	0,04	Ordered	Inversion	1228,4	60,017
1	47,286	50	200	1	0,05	Ordered	Inversion	1226,44	60,01
1	47,286	50	300	0,6	0,01	Ordered	Inversion	670,420000000001	1,15
1	47,286	50	300	0,6	0,02	Ordered	Inversion	718,720000000002	1,394
1	47,286	50	300	0,6	0,03	Ordered	Inversion	723,920000000001	0,695
1	47,286	50	300	0,6	0,04	Ordered	Inversion	723,200000000001	1,08
1	47,286	50	300	0,6	0,05	Ordered	Inversion	615,840000000001	0,931
1	47,286	50	300	0,7	0,01	Ordered	Inversion	718,920000000002	1,311
1	47,286	50	300	0,7	0,02	Ordered	Inversion	755,120000000002	1,725
1	47,286	50	300	0,7	0,03	Ordered	Inversion	707,980000000001	1,98
1	47,286	50	300	0,7	0,04	Ordered	Inversion	624,640000000001	2,081
1	47,286	50	300	0,7	0,05	Ordered	Inversion	671,440000000001	2,325
1	47,286	50	300	0,8	0,01	Ordered	Inversion	743,800000000001	1,476
1	47,286	50	300	0,8	0,02	Ordered	Inversion	682,860000000001	2,179
1	47,286	50	300	0,8	0,03	Ordered	Inversion	696,660000000001	0,853
1	47,286	50	300	0,8	0,04	Ordered	Inversion	692,380000000001	1,895
1	47,286	50	300	0,8	0,05	Ordered	Inversion	671,580000000001	1,596
1	47,286	50	300	0,9	0,01	Ordered	Inversion	697,920000000001	1,871
1	47,286	50	300	0,9	0,02	Ordered	Inversion	708,180000000001	1,984
