2017-08-31 02:10:56:8563	../../../files/testListWithPickListSize005.txt
NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
5	10	0,6	0,01	Ordered	Inversion	285,66	1,061
5	10	0,6	0,02	Ordered	Inversion	285,66	1,005
5	10	0,6	0,03	Ordered	Inversion	285,18	0,486
5	10	0,6	0,04	Ordered	Inversion	290,86	0,231
5	10	0,6	0,05	Ordered	Inversion	263,02	0,253
5	10	0,7	0,01	Ordered	Inversion	263,02	0,183
5	10	0,7	0,02	Ordered	Inversion	263,02	0,023
5	10	0,7	0,03	Ordered	Inversion	263,02	0,041
5	10	0,7	0,04	Ordered	Inversion	269,04	0,033
5	10	0,7	0,05	Ordered	Inversion	263,02	0,021
5	10	0,8	0,01	Ordered	Inversion	263,02	0,019
5	10	0,8	0,02	Ordered	Inversion	263,02	0,02
5	10	0,8	0,03	Ordered	Inversion	269,04	0,016
5	10	0,8	0,04	Ordered	Inversion	269,04	0,024
5	10	0,8	0,05	Ordered	Inversion	269,04	0,034
5	10	0,9	0,01	Ordered	Inversion	269,04	0,054
5	10	0,9	0,02	Ordered	Inversion	269,04	0,025
5	10	0,9	0,03	Ordered	Inversion	263,02	0,079
5	10	0,9	0,04	Ordered	Inversion	280,46	0,083
5	10	0,9	0,05	Ordered	Inversion	285,18	0,033
5	20	0,6	0,01	Ordered	Inversion	263,02	0,031
5	20	0,6	0,02	Ordered	Inversion	263,02	0,025
5	20	0,6	0,03	Ordered	Inversion	285,66	0,078
5	20	0,6	0,04	Ordered	Inversion	263,02	0,039
5	20	0,6	0,05	Ordered	Inversion	263,02	0,025
5	20	0,7	0,01	Ordered	Inversion	269,04	0,036
5	20	0,7	0,02	Ordered	Inversion	279,64	0,086
5	20	0,7	0,03	Ordered	Inversion	263,02	0,029
5	20	0,7	0,04	Ordered	Inversion	263,02	0,063
5	20	0,7	0,05	Ordered	Inversion	269,04	0,063
5	20	0,8	0,01	Ordered	Inversion	286	0,056
5	20	0,8	0,02	Ordered	Inversion	269,04	0,052
5	20	0,8	0,03	Ordered	Inversion	269,04	0,045
5	20	0,8	0,04	Ordered	Inversion	263,02	0,294
5	20	0,8	0,05	Ordered	Inversion	263,02	0,075
5	20	0,9	0,01	Ordered	Inversion	263,02	0,062
5	20	0,9	0,02	Ordered	Inversion	280,46	0,031
5	20	0,9	0,03	Ordered	Inversion	263,02	0,046
5	20	0,9	0,04	Ordered	Inversion	269,04	0,081
5	20	0,9	0,05	Ordered	Inversion	279,64	0,045
5	30	0,6	0,01	Ordered	Inversion	279,64	0,052
5	30	0,6	0,02	Ordered	Inversion	263,02	0,149
5	30	0,6	0,03	Ordered	Inversion	263,02	0,094
5	30	0,6	0,04	Ordered	Inversion	263,02	0,085
5	30	0,6	0,05	Ordered	Inversion	263,02	0,041
5	30	0,7	0,01	Ordered	Inversion	263,02	0,072
5	30	0,7	0,02	Ordered	Inversion	280,46	0,038
5	30	0,7	0,03	Ordered	Inversion	263,02	0,042
5	30	0,7	0,04	Ordered	Inversion	263,02	0,125
5	30	0,7	0,05	Ordered	Inversion	263,02	0,04
5	30	0,8	0,01	Ordered	Inversion	269,04	0,076
5	30	0,8	0,02	Ordered	Inversion	263,02	0,042
5	30	0,8	0,03	Ordered	Inversion	263,02	0,065
5	30	0,8	0,04	Ordered	Inversion	263,02	0,043
5	30	0,8	0,05	Ordered	Inversion	263,02	0,054
5	30	0,9	0,01	Ordered	Inversion	263,02	0,054
5	30	0,9	0,02	Ordered	Inversion	263,02	0,041
5	30	0,9	0,03	Ordered	Inversion	263,02	0,269
5	30	0,9	0,04	Ordered	Inversion	263,02	0,116
5	30	0,9	0,05	Ordered	Inversion	263,02	0,087
5	40	0,6	0,01	Ordered	Inversion	263,02	0,153
5	40	0,6	0,02	Ordered	Inversion	263,02	0,045
5	40	0,6	0,03	Ordered	Inversion	263,02	0,044
5	40	0,6	0,04	Ordered	Inversion	263,02	0,242
5	40	0,6	0,05	Ordered	Inversion	263,02	0,124
5	40	0,7	0,01	Ordered	Inversion	263,02	0,096
5	40	0,7	0,02	Ordered	Inversion	263,02	0,093
5	40	0,7	0,03	Ordered	Inversion	263,02	0,058
5	40	0,7	0,04	Ordered	Inversion	263,02	0,122
5	40	0,7	0,05	Ordered	Inversion	263,02	0,05
5	40	0,8	0,01	Ordered	Inversion	263,02	0,044
5	40	0,8	0,02	Ordered	Inversion	263,02	0,151
5	40	0,8	0,03	Ordered	Inversion	263,02	0,125
5	40	0,8	0,04	Ordered	Inversion	263,02	0,096
5	40	0,8	0,05	Ordered	Inversion	263,02	0,094
5	40	0,9	0,01	Ordered	Inversion	263,02	0,079
5	40	0,9	0,02	Ordered	Inversion	263,02	0,081
5	40	0,9	0,03	Ordered	Inversion	263,02	0,09
5	40	0,9	0,04	Ordered	Inversion	263,02	0,098
5	40	0,9	0,05	Ordered	Inversion	263,02	0,084
5	50	0,6	0,01	Ordered	Inversion	269,04	0,349
5	50	0,6	0,02	Ordered	Inversion	263,02	0,06
5	50	0,6	0,03	Ordered	Inversion	263,02	0,062
5	50	0,6	0,04	Ordered	Inversion	269,04	0,142
5	50	0,6	0,05	Ordered	Inversion	263,02	0,058
5	50	0,7	0,01	Ordered	Inversion	263,02	0,061
5	50	0,7	0,02	Ordered	Inversion	263,02	0,088
5	50	0,7	0,03	Ordered	Inversion	263,02	0,065
5	50	0,7	0,04	Ordered	Inversion	263,02	0,084
5	50	0,7	0,05	Ordered	Inversion	263,02	0,078
5	50	0,8	0,01	Ordered	Inversion	263,02	0,125
5	50	0,8	0,02	Ordered	Inversion	263,02	0,071
5	50	0,8	0,03	Ordered	Inversion	263,02	0,072
5	50	0,8	0,04	Ordered	Inversion	263,02	0,1
5	50	0,8	0,05	Ordered	Inversion	263,02	0,169
5	50	0,9	0,01	Ordered	Inversion	263,02	0,091
5	50	0,9	0,02	Ordered	Inversion	269,04	0,111
5	50	0,9	0,03	Ordered	Inversion	263,02	0,168
5	50	0,9	0,04	Ordered	Inversion	263,02	0,134
5	50	0,9	0,05	Ordered	Inversion	263,02	0,153
10	10	0,6	0,01	Ordered	Inversion	279,64	0,036
10	10	0,6	0,02	Ordered	Inversion	290,86	0,041
10	10	0,6	0,03	Ordered	Inversion	263,02	0,068
10	10	0,6	0,04	Ordered	Inversion	263,02	0,031
10	10	0,6	0,05	Ordered	Inversion	285,66	0,063
10	10	0,7	0,01	Ordered	Inversion	280,46	0,07
10	10	0,7	0,02	Ordered	Inversion	285,18	0,127
10	10	0,7	0,03	Ordered	Inversion	285,18	0,046
10	10	0,7	0,04	Ordered	Inversion	263,02	0,061
10	10	0,7	0,05	Ordered	Inversion	279,64	0,063
10	10	0,8	0,01	Ordered	Inversion	263,02	0,059
10	10	0,8	0,02	Ordered	Inversion	269,04	0,059
10	10	0,8	0,03	Ordered	Inversion	263,02	0,093
10	10	0,8	0,04	Ordered	Inversion	296,6	0,052
10	10	0,8	0,05	Ordered	Inversion	302,62	0,109
10	10	0,9	0,01	Ordered	Inversion	303,94	0,114
10	10	0,9	0,02	Ordered	Inversion	269,04	0,112
10	10	0,9	0,03	Ordered	Inversion	263,02	0,114
10	10	0,9	0,04	Ordered	Inversion	263,02	0,047
10	10	0,9	0,05	Ordered	Inversion	263,02	0,036
10	20	0,6	0,01	Ordered	Inversion	263,02	0,153
10	20	0,6	0,02	Ordered	Inversion	263,02	0,212
10	20	0,6	0,03	Ordered	Inversion	296,6	0,079
10	20	0,6	0,04	Ordered	Inversion	263,02	0,281
10	20	0,6	0,05	Ordered	Inversion	263,02	0,064
10	20	0,7	0,01	Ordered	Inversion	263,02	0,245
10	20	0,7	0,02	Ordered	Inversion	269,04	0,298
10	20	0,7	0,03	Ordered	Inversion	269,04	0,096
10	20	0,7	0,04	Ordered	Inversion	263,02	0,106
10	20	0,7	0,05	Ordered	Inversion	263,02	0,106
