2017-08-31 15:38:10:3121	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	44,591	5	10	0,6	0,01	Ordered	Inversion	1309,4	0,426
1	44,591	5	10	0,6	0,02	Ordered	Inversion	1286,56	0,001
1	44,591	5	10	0,6	0,03	Ordered	Inversion	1387,53999999999	0,002
1	44,591	5	10	0,6	0,04	Ordered	Inversion	1444,6	0,002
1	44,591	5	10	0,6	0,05	Ordered	Inversion	1274,5	0,002
1	44,591	5	10	0,7	0,01	Ordered	Inversion	1529,8	0,005
1	44,591	5	10	0,7	0,02	Ordered	Inversion	1388,36	0,004
1	44,591	5	10	0,7	0,03	Ordered	Inversion	1343,76	0,005
1	44,591	5	10	0,7	0,04	Ordered	Inversion	1262,82	0,002
1	44,591	5	10	0,7	0,05	Ordered	Inversion	1326,36	0,002
1	44,591	5	10	0,8	0,01	Ordered	Inversion	1348,86	0,002
1	44,591	5	10	0,8	0,02	Ordered	Inversion	1422,4	0,001
1	44,591	5	10	0,8	0,03	Ordered	Inversion	1463,88	0,005
1	44,591	5	10	0,8	0,04	Ordered	Inversion	1382,58	0,002
1	44,591	5	10	0,8	0,05	Ordered	Inversion	1565,93999999999	0,001
1	44,591	5	10	0,9	0,01	Ordered	Inversion	1262,32	0,006
1	44,591	5	10	0,9	0,02	Ordered	Inversion	1194,46	0,004
1	44,591	5	10	0,9	0,03	Ordered	Inversion	1530,81999999999	0,002
1	44,591	5	10	0,9	0,04	Ordered	Inversion	1094,94	0,002
1	44,591	5	10	0,9	0,05	Ordered	Inversion	1232,46	0,004
1	44,591	5	10	1	0,01	Ordered	Inversion	1493,4	0,008
1	44,591	5	10	1	0,02	Ordered	Inversion	1680,73999999999	0,006
1	44,591	5	10	1	0,03	Ordered	Inversion	1238,88	0,002
1	44,591	5	10	1	0,04	Ordered	Inversion	1488,38	0,038
1	44,591	5	10	1	0,05	Ordered	Inversion	1544,51999999999	0,054
1	44,591	5	20	0,6	0,01	Ordered	Inversion	1270,22	0,002
1	44,591	5	20	0,6	0,02	Ordered	Inversion	1123,26	0,005
1	44,591	5	20	0,6	0,03	Ordered	Inversion	1208,46	0,004
1	44,591	5	20	0,6	0,04	Ordered	Inversion	1160,44	0,002
1	44,591	5	20	0,6	0,05	Ordered	Inversion	1279,66	0,002
1	44,591	5	20	0,7	0,01	Ordered	Inversion	1316,26	0,003
1	44,591	5	20	0,7	0,02	Ordered	Inversion	1154,18	0,005
1	44,591	5	20	0,7	0,03	Ordered	Inversion	1170,74	0,004
1	44,591	5	20	0,7	0,04	Ordered	Inversion	1249,52	0,003
1	44,591	5	20	0,7	0,05	Ordered	Inversion	1273,68	0,003
1	44,591	5	20	0,8	0,01	Ordered	Inversion	1112,72	0,006
1	44,591	5	20	0,8	0,02	Ordered	Inversion	820,000000000001	0,007
1	44,591	5	20	0,8	0,03	Ordered	Inversion	1377,82	0,001
1	44,591	5	20	0,8	0,04	Ordered	Inversion	1202,68	0,006
1	44,591	5	20	0,8	0,05	Ordered	Inversion	1101,44	0,005
1	44,591	5	20	0,9	0,01	Ordered	Inversion	1164,04	0,007
1	44,591	5	20	0,9	0,02	Ordered	Inversion	1270,08	0,012
1	44,591	5	20	0,9	0,03	Ordered	Inversion	1176,28	0,007
1	44,591	5	20	0,9	0,04	Ordered	Inversion	1192,62	0,015
1	44,591	5	20	0,9	0,05	Ordered	Inversion	1159,46	0,01
1	44,591	5	20	1	0,01	Ordered	Inversion	1412,1	0,038
1	44,591	5	20	1	0,02	Ordered	Inversion	1465,24	0,09
1	44,591	5	20	1	0,03	Ordered	Inversion	1259	0,365
1	44,591	5	20	1	0,04	Ordered	Inversion	1359,6	0,369
1	44,591	5	20	1	0,05	Ordered	Inversion	1406,94	0,89
1	44,591	5	30	0,6	0,01	Ordered	Inversion	1328,94	0,014
1	44,591	5	30	0,6	0,02	Ordered	Inversion	1106,54	0,005
1	44,591	5	30	0,6	0,03	Ordered	Inversion	1210,64	0,008
1	44,591	5	30	0,6	0,04	Ordered	Inversion	1269,84	0,008
1	44,591	5	30	0,6	0,05	Ordered	Inversion	1163,6	0,008
1	44,591	5	30	0,7	0,01	Ordered	Inversion	1169,48	0,003
1	44,591	5	30	0,7	0,02	Ordered	Inversion	1153,6	0,01
1	44,591	5	30	0,7	0,03	Ordered	Inversion	979,700000000003	0,012
1	44,591	5	30	0,7	0,04	Ordered	Inversion	1128,56	0,011
1	44,591	5	30	0,7	0,05	Ordered	Inversion	936,500000000001	0,026
1	44,591	5	30	0,8	0,01	Ordered	Inversion	1055,7	0,006
1	44,591	5	30	0,8	0,02	Ordered	Inversion	1033,6	0,017
1	44,591	5	30	0,8	0,03	Ordered	Inversion	1080,64	0,014
1	44,591	5	30	0,8	0,04	Ordered	Inversion	985,780000000002	0,022
1	44,591	5	30	0,8	0,05	Ordered	Inversion	1011,58	0,02
1	44,591	5	30	0,9	0,01	Ordered	Inversion	1075,68	0,025
1	44,591	5	30	0,9	0,02	Ordered	Inversion	1109,12	0,016
1	44,591	5	30	0,9	0,03	Ordered	Inversion	1229,6	0,01
1	44,591	5	30	0,9	0,04	Ordered	Inversion	1156,22	0,05
1	44,591	5	30	0,9	0,05	Ordered	Inversion	1043,9	0,031
1	44,591	5	30	1	0,01	Ordered	Inversion	1251,52	0,232
1	44,591	5	30	1	0,02	Ordered	Inversion	1299	4,21
1	44,591	5	30	1	0,03	Ordered	Inversion	1358,78	10,423
1	44,591	5	30	1	0,04	Ordered	Inversion	1285,74	10,944
1	44,591	5	30	1	0,05	Ordered	Inversion	1264,3	1,899
1	44,591	5	40	0,6	0,01	Ordered	Inversion	1124,44	0,01
1	44,591	5	40	0,6	0,02	Ordered	Inversion	1340,26	0,004
1	44,591	5	40	0,6	0,03	Ordered	Inversion	1207,24	0,003
1	44,591	5	40	0,6	0,04	Ordered	Inversion	987,480000000002	0,03
1	44,591	5	40	0,6	0,05	Ordered	Inversion	1129,78	0,012
1	44,591	5	40	0,7	0,01	Ordered	Inversion	1134,44	0,01
1	44,591	5	40	0,7	0,02	Ordered	Inversion	1028,34	0,013
1	44,591	5	40	0,7	0,03	Ordered	Inversion	1205	0,003
1	44,591	5	40	0,7	0,04	Ordered	Inversion	1122,62	0,007
1	44,591	5	40	0,7	0,05	Ordered	Inversion	918,860000000002	0,018
1	44,591	5	40	0,8	0,01	Ordered	Inversion	1086,52	0,011
1	44,591	5	40	0,8	0,02	Ordered	Inversion	1078,8	0,008
1	44,591	5	40	0,8	0,03	Ordered	Inversion	988,500000000002	0,024
1	44,591	5	40	0,8	0,04	Ordered	Inversion	1336,04	0,003
1	44,591	5	40	0,8	0,05	Ordered	Inversion	998,080000000003	0,015
1	44,591	5	40	0,9	0,01	Ordered	Inversion	1173,46	0,014
1	44,591	5	40	0,9	0,02	Ordered	Inversion	1229,4	0,008
1	44,591	5	40	0,9	0,03	Ordered	Inversion	1132,4	0,008
1	44,591	5	40	0,9	0,04	Ordered	Inversion	1131,96	0,007
1	44,591	5	40	0,9	0,05	Ordered	Inversion	1266,82	0,003
1	44,591	5	40	1	0,01	Ordered	Inversion	1401,34	4,257
1	44,591	5	40	1	0,02	Ordered	Inversion	1078,06	49,842
1	44,591	5	40	1	0,03	Ordered	Inversion	1216,76	7,861
1	44,591	5	40	1	0,04	Ordered	Inversion	1269,3	73,946
1	44,591	5	40	1	0,05	Ordered	Inversion	1316,68	50,433
1	44,591	5	50	0,6	0,01	Ordered	Inversion	1072,04	0,03
1	44,591	5	50	0,6	0,02	Ordered	Inversion	1146,3	0,014
1	44,591	5	50	0,6	0,03	Ordered	Inversion	1179,98	0,006
1	44,591	5	50	0,6	0,04	Ordered	Inversion	1191,54	0,008
1	44,591	5	50	0,6	0,05	Ordered	Inversion	921,040000000002	0,037
1	44,591	5	50	0,7	0,01	Ordered	Inversion	934,940000000002	0,019
1	44,591	5	50	0,7	0,02	Ordered	Inversion	1078,46	0,01
